id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state
1,3:58,Goal,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,27,Taylor Heise,,,,,31,Aerin Frankel,,17 20 22 27 97,Taylor Girard - Hannah Brandt - Jessica DiGirolamo - Shiann Darkangelo - Jess Healey,,9 26 27 36 77,Abby Cook - Kendall Coyne Schofield - Taylor Heise - Dominique Kremer - Susanna Tapani,72.7,11.1,4,2024-01-03,PWHL,2023/2024,Regular Season
2,5:22,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,36,Loren Gabel,,,,,29,Nicole Hensley,,,,,,,-65.7,2.0,4,2024-01-03,PWHL,2023/2024,Regular Season
3,6:57,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,21,Hilary Knight,,,,,29,Nicole Hensley,,,,,,,-71.0,-2.5,4,2024-01-03,PWHL,2023/2024,Regular Season
4,7:54,Goal,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,11,Sophia Kunin,18,Brittyn Fleming,,,31,Aerin Frankel,,5 7 17 20 27,Megan Keller - Sidney Morin - Taylor Girard - Hannah Brandt - Shiann Darkangelo,,11 18 21 22 23,Sophia Kunin - Brittyn Fleming - Liz Schepers - Natalie Buchbinder - Mellissa Channell-Watkins,67.7,4.2,4,2024-01-03,PWHL,2023/2024,Regular Season
5,9:17,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,13,Grace Zumwinkle,,,,,31,Aerin Frankel,,,,,,,65.0,17.3,4,2024-01-03,PWHL,2023/2024,Regular Season
6,12:06,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,19,Maggie Flaherty,,,,,31,Aerin Frankel,,,,,,,51.0,9.3,4,2024-01-03,PWHL,2023/2024,Regular Season
7,12:21,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,77,Susanna Tapani,,,,,31,Aerin Frankel,,,,,,,60.7,0.0,4,2024-01-03,PWHL,2023/2024,Regular Season
8,13:49,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,20,Hannah Brandt,,,,,29,Nicole Hensley,,,,,,,-82.0,-5.7,4,2024-01-03,PWHL,2023/2024,Regular Season
9,13:49,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,27,Shiann Darkangelo,,,,,29,Nicole Hensley,,,,,,,-73.7,11.3,4,2024-01-03,PWHL,2023/2024,Regular Season
10,14:40,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,20,Hannah Brandt,,,,,29,Nicole Hensley,,,,,,,-54.7,-12.8,4,2024-01-03,PWHL,2023/2024,Regular Season
