id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state
1,0:29,Shot,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,18,Jesse Compher,,,,,31,Aerin Frankel,,,,,,,-77.0,-4.2,145,2025-02-14,PWHL,2024/2025,Regular Season
2,0:30,Shot,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,18,Jesse Compher,,,,,31,Aerin Frankel,,,,,,,-76.0,-3.4,145,2025-02-14,PWHL,2024/2025,Regular Season
3,1:50,Block,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,67,Emma Woods,,,,,31,Aerin Frankel,,,,,,,-44.7,6.0,145,2025-02-14,PWHL,2024/2025,Regular Season
4,2:02,Penalty,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v5,27,Shay Maloney,,,,,,,,,,,,,,,145,2025-02-14,PWHL,2024/2025,Regular Season
5,3:41,Shot,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v4,6,Kali Flanagan,,,,,31,Aerin Frankel,,,,,,,-67.0,21.8,145,2025-02-14,PWHL,2024/2025,Regular Season
6,4:06,Goal,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,27,Emma Maltais,,,,,31,Aerin Frankel,,6 15 18 27 40,Kali Flanagan - Savannah Harmon - Jesse Compher - Emma Maltais - Blayre Turnbull,,16 22 27 44 55,Amanda Pelkey - Jessica DiGirolamo - Shay Maloney - Jill Saulnier - Daniela Pejšová,-81.3,-2.8,145,2025-02-14,PWHL,2024/2025,Regular Season
7,5:18,Shot,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v5,27,Shay Maloney,,,,,50,Kristen Campbell,,,,,,,28.0,32.3,145,2025-02-14,PWHL,2024/2025,Regular Season
8,6:16,Shot,Toronto Sceptres,Home,Toronto Sceptres,Boston Fleet,1,event,5v5,9,Daryl Watts,,,,,31,Aerin Frankel,,,,,,,-58.7,4.8,145,2025-02-14,PWHL,2024/2025,Regular Season
9,8:24,Shot,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v5,20,Hannah Brandt,,,,,50,Kristen Campbell,,,,,,,70.7,21.0,145,2025-02-14,PWHL,2024/2025,Regular Season
10,8:41,Shot,Boston Fleet,Away,Toronto Sceptres,Boston Fleet,1,event,5v5,5,Megan Keller,,,,,50,Kristen Campbell,,,,,,,40.3,-23.8,145,2025-02-14,PWHL,2024/2025,Regular Season
