id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,xG,ScoreState,BoxID,game_id,game_date,competition,season,state
1,0:42,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,9,Kati Tabin,,,,,38,Emerance Maschmeyer,,,,,,,61.0,-6.0,0.0785,0,O14,172,2024-12-06,PWHL,2024/2025,Regular Season
2,1:54,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,12,Jenn Gardiner,,,,,38,Emerance Maschmeyer,,,,,,,51.3,-10.2,0.0573,0,O21,172,2024-12-06,PWHL,2024/2025,Regular Season
3,3:34,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,2,Aneta Tejralová,,,,,20,Elaine Chuli,,,,,,,28.3,-31.2,0.0400,0,O24,172,2024-12-06,PWHL,2024/2025,Regular Season
4,4:19,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,6,Stephanie Markowski,,,,,20,Elaine Chuli,,,,,,,47.0,-9.6,0.0573,0,O21,172,2024-12-06,PWHL,2024/2025,Regular Season
5,5:23,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,8,Natalie Snodgrass,,,,,20,Elaine Chuli,,,,,,,60.0,-24.6,0.0371,0,O13,172,2024-12-06,PWHL,2024/2025,Regular Season
6,5:37,Penalty,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,88,Ronja Savolainen,,,,,,,,,,,,,,,,0,,172,2024-12-06,PWHL,2024/2025,Regular Season
7,7:01,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v4,3,Cayla Barnes,,,,,38,Emerance Maschmeyer,,,,,,,45.0,2.8,0.0895,0,O21,172,2024-12-06,PWHL,2024/2025,Regular Season
8,9:28,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,13,Alexandra Labelle,,,,,38,Emerance Maschmeyer,,,,,,,60.7,14.5,0.0899,0,O16,172,2024-12-06,PWHL,2024/2025,Regular Season
9,9:43,Block,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,88,Ronja Savolainen,,,,,20,Elaine Chuli,,,,,,,64.7,2.8,,0,O15,172,2024-12-06,PWHL,2024/2025,Regular Season
10,9:44,Block,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,13,Tereza Vanišová,,,,,20,Elaine Chuli,,,,,,,-81.0,-4.2,,0,D11,172,2024-12-06,PWHL,2024/2025,Regular Season
