id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state
1,0:21,Block,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,16,Kateřina Mrázová,,,,,1,Raygan Kirk,,,,,,,33.3,-25.2,140,2025-02-01,PWHL,2024/2025,Regular Season
2,1:09,Block,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,55,Rylind MacKinnon,,,,,38,Emerance Maschmeyer,,,,,,,-41.0,-22.7,140,2025-02-01,PWHL,2024/2025,Regular Season
3,3:13,Block,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,20,Sarah Nurse,,,,,38,Emerance Maschmeyer,,,,,,,-33.7,-9.3,140,2025-02-01,PWHL,2024/2025,Regular Season
4,4:24,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,13,Tereza Vanišová,,,,,1,Raygan Kirk,,,,,,,64.0,-15.0,140,2025-02-01,PWHL,2024/2025,Regular Season
5,4:38,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,13,Tereza Vanišová,,,,,1,Raygan Kirk,,,,,,,51.0,0.8,140,2025-02-01,PWHL,2024/2025,Regular Season
6,5:36,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,14,Renata Fast,,,,,38,Emerance Maschmeyer,,,,,,,-48.7,-26.4,140,2025-02-01,PWHL,2024/2025,Regular Season
7,5:40,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,27,Emma Maltais,,,,,38,Emerance Maschmeyer,,,,,,,-67.0,-16.1,140,2025-02-01,PWHL,2024/2025,Regular Season
8,7:05,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,3,Zoe Boyd,,,,,1,Raygan Kirk,,,,,,,49.3,-16.4,140,2025-02-01,PWHL,2024/2025,Regular Season
9,7:45,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,55,Rylind MacKinnon,,,,,38,Emerance Maschmeyer,,,,,,,-39.3,-12.8,140,2025-02-01,PWHL,2024/2025,Regular Season
10,8:41,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,37,Rebecca Leslie,,,,,1,Raygan Kirk,,,,,,,41.7,-4.2,140,2025-02-01,PWHL,2024/2025,Regular Season
11,9:29,Block,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,9,Daryl Watts,,,,,38,Emerance Maschmeyer,,,,,,,-42.0,-19.3,140,2025-02-01,PWHL,2024/2025,Regular Season
12,9:44,Penalty,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,14,Renata Fast,,,,,,,,,,,,,,,140,2025-02-01,PWHL,2024/2025,Regular Season
13,9:45,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v4,2,Aneta Tejralová,,,,,1,Raygan Kirk,,,,,,,71.0,-25.2,140,2025-02-01,PWHL,2024/2025,Regular Season
14,9:58,Penalty,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v4,19,Brianne Jenner,,,,,,,,,,,,,,,140,2025-02-01,PWHL,2024/2025,Regular Season
15,10:46,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,4v4,92,Danielle Serdachny,,,,,1,Raygan Kirk,,,,,,,51.0,3.1,140,2025-02-01,PWHL,2024/2025,Regular Season
16,11:22,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,4v4,13,Tereza Vanišová,,,,,1,Raygan Kirk,,,,,,,79.7,7.4,140,2025-02-01,PWHL,2024/2025,Regular Season
17,13:50,Penalty,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,6,Kali Flanagan,,,,,,,,,,,,,,,140,2025-02-01,PWHL,2024/2025,Regular Season
18,14:10,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v4,19,Brianne Jenner,,,,,1,Raygan Kirk,,,,,,,78.3,-15.0,140,2025-02-01,PWHL,2024/2025,Regular Season
19,14:45,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,4v5,40,Blayre Turnbull,,,,,38,Emerance Maschmeyer,,,,,,,-72.0,7.6,140,2025-02-01,PWHL,2024/2025,Regular Season
20,15:55,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,12,Victoria Bach,,,,,1,Raygan Kirk,,,,,,,73.7,-8.5,140,2025-02-01,PWHL,2024/2025,Regular Season
21,17:03,Block,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,37,Rebecca Leslie,,,,,1,Raygan Kirk,,,,,,,38.3,-16.4,140,2025-02-01,PWHL,2024/2025,Regular Season
22,17:40,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,71,Jincy Roese,,,,,1,Raygan Kirk,,,,,,,45.0,-14.5,140,2025-02-01,PWHL,2024/2025,Regular Season
23,17:55,Penalty,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,23,Jocelyne Larocque,,,,,,,,,,,,,,,140,2025-02-01,PWHL,2024/2025,Regular Season
24,19:28,Goal,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v4,88,Julia Gosling,40,Blayre Turnbull,15,Savannah Harmon,38,Emerance Maschmeyer,,6 15 27 40 88,Kali Flanagan - Savannah Harmon - Emma Maltais - Blayre Turnbull - Julia Gosling,,2 6 27 37,Aneta Tejralová - Stephanie Markowski - Shiann Darkangelo - Rebecca Leslie,-63.7,-16.1,140,2025-02-01,PWHL,2024/2025,Regular Season
25,0:59,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,19,Brianne Jenner,,,,,1,Raygan Kirk,,,,,,,77.0,10.8,140,2025-02-01,PWHL,2024/2025,Regular Season
26,1:31,Block,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,22,Maggie Connors,,,,,38,Emerance Maschmeyer,,,,,,,-62.3,1.1,140,2025-02-01,PWHL,2024/2025,Regular Season
27,1:48,Block,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,55,Rylind MacKinnon,,,,,38,Emerance Maschmeyer,,,,,,,-55.0,-15.9,140,2025-02-01,PWHL,2024/2025,Regular Season
28,1:53,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,40,Blayre Turnbull,,,,,38,Emerance Maschmeyer,,,,,,,-65.3,-37.4,140,2025-02-01,PWHL,2024/2025,Regular Season
29,2:07,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,88,Julia Gosling,,,,,38,Emerance Maschmeyer,,,,,,,-70.7,3.7,140,2025-02-01,PWHL,2024/2025,Regular Season
30,2:13,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,8,Izzy Daniel,,,,,38,Emerance Maschmeyer,,,,,,,-85.3,12.2,140,2025-02-01,PWHL,2024/2025,Regular Season
31,2:24,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,34,Hannah Miller,,,,,38,Emerance Maschmeyer,,,,,,,-78.0,-4.5,140,2025-02-01,PWHL,2024/2025,Regular Season
32,2:59,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,9,Daryl Watts,,,,,38,Emerance Maschmeyer,,,,,,,-61.3,1.4,140,2025-02-01,PWHL,2024/2025,Regular Season
33,3:29,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,26,Emily Clark,,,,,1,Raygan Kirk,,,,,,,70.0,-6.0,140,2025-02-01,PWHL,2024/2025,Regular Season
34,3:40,Goal,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,26,Emily Clark,16,Kateřina Mrázová,19,Brianne Jenner,1,Raygan Kirk,,18 22 23 40 55,Jesse Compher - Maggie Connors - Megan Carter - Blayre Turnbull - Rylind MacKinnon,,16 19 21 26 88,Kateřina Mrázová - Brianne Jenner - Ashton Bell - Emily Clark - Ronja Savolainen,81.7,9.9,140,2025-02-01,PWHL,2024/2025,Regular Season
35,5:21,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,61,Noemi Neubauerová,,,,,38,Emerance Maschmeyer,,,,,,,-80.0,-8.5,140,2025-02-01,PWHL,2024/2025,Regular Season
36,6:24,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,23,Megan Carter,,,,,38,Emerance Maschmeyer,,,,,,,-44.0,18.4,140,2025-02-01,PWHL,2024/2025,Regular Season
