id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state
1,1:25,Shot,Boston Fleet,Home,Boston Fleet,Montréal Victoire,1,event,5v5,7,Sidney Morin,,,,,35,Ann-Renée Desbiens,,,,,,,-31.0,-39.1,173,2025-01-05,PWHL,2024/2025,Regular Season
2,3:01,Shot,Montréal Victoire,Away,Boston Fleet,Montréal Victoire,1,event,5v5,25,Lina Ljungblom,,,,,31,Aerin Frankel,,,,,,,19.3,-28.1,173,2025-01-05,PWHL,2024/2025,Regular Season
3,3:23,Shot,Boston Fleet,Home,Boston Fleet,Montréal Victoire,1,event,5v5,2,Emily Brown,,,,,35,Ann-Renée Desbiens,,,,,,,-3.0,38.2,173,2025-01-05,PWHL,2024/2025,Regular Season
4,4:30,Shot,Boston Fleet,Home,Boston Fleet,Montréal Victoire,1,event,5v5,47,Jamie Lee Rattray,,,,,35,Ann-Renée Desbiens,,,,,,,-64.3,13.6,173,2025-01-05,PWHL,2024/2025,Regular Season
5,4:48,Shot,Boston Fleet,Home,Boston Fleet,Montréal Victoire,1,event,5v5,27,Shay Maloney,,,,,35,Ann-Renée Desbiens,,,,,,,-70.3,0.3,173,2025-01-05,PWHL,2024/2025,Regular Season
6,5:05,Block,Montréal Victoire,Away,Boston Fleet,Montréal Victoire,1,event,5v5,42,Claire Dalton,,,,,31,Aerin Frankel,,,,,,,64.7,18.4,173,2025-01-05,PWHL,2024/2025,Regular Season
7,5:12,Shot,Boston Fleet,Home,Boston Fleet,Montréal Victoire,1,event,5v5,11,Alina Müller,,,,,35,Ann-Renée Desbiens,,,,,,,-69.0,9.1,173,2025-01-05,PWHL,2024/2025,Regular Season
8,5:32,Block,Boston Fleet,Home,Boston Fleet,Montréal Victoire,1,event,5v5,16,Amanda Pelkey,,,,,35,Ann-Renée Desbiens,,,,,,,-65.0,-36.3,173,2025-01-05,PWHL,2024/2025,Regular Season
9,5:39,Penalty,Boston Fleet,Home,Boston Fleet,Montréal Victoire,1,event,5v5,2,Emily Brown,,,,,,,,,,,,,,,173,2025-01-05,PWHL,2024/2025,Regular Season
10,5:57,Block,Montréal Victoire,Away,Boston Fleet,Montréal Victoire,1,event,5v4,12,Jenn Gardiner,,,,,31,Aerin Frankel,,,,,,,43.0,17.8,173,2025-01-05,PWHL,2024/2025,Regular Season
