id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state
1,0:53,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,13,Mikyla Grant-Mentis,,,,,50,Kristen Campbell,,,,,,,42.0,-23.0,10,2024-01-13,PWHL,2023/2024,Regular Season
2,3:27,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,15,Savannah Harmon,,,,,50,Kristen Campbell,,,,,,,35.0,23.0,10,2024-01-13,PWHL,2023/2024,Regular Season
3,7:09,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,26,Emily Clark,,,,,50,Kristen Campbell,,,,,,,66.7,-5.7,10,2024-01-13,PWHL,2023/2024,Regular Season
4,8:18,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,14,Hayley Scamurra,,,,,50,Kristen Campbell,,,,,,,35.7,30.0,10,2024-01-13,PWHL,2023/2024,Regular Season
5,8:29,Penalty,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,18,Jesse Compher,,,,,,,,,,,,,,,10,2024-01-13,PWHL,2023/2024,Regular Season
6,8:47,Penalty,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,4v5,40,Blayre Turnbull,,,,,,,,,,,,,,,10,2024-01-13,PWHL,2023/2024,Regular Season
7,9:23,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v3,71,Jincy Roese,,,,,50,Kristen Campbell,,,,,,,47.0,18.4,10,2024-01-13,PWHL,2023/2024,Regular Season
8,9:29,Goal,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v3,16,Kateřina Mrázová,71,Jincy Roese,88,Lexie Adzija,50,Kristen Campbell,,3 14 27,Jocelyne Larocque - Renata Fast - Emma Maltais,,9 11 16 71 88,Daryl Watts - Akane Shiga - Kateřina Mrázová - Jincy Roese - Lexie Adzija,79.3,0.8,10,2024-01-13,PWHL,2023/2024,Regular Season
9,9:31,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v4,71,Jincy Roese,,,,,50,Kristen Campbell,,,,,,,52.7,2.5,10,2024-01-13,PWHL,2023/2024,Regular Season
10,10:16,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v4,13,Mikyla Grant-Mentis,,,,,50,Kristen Campbell,,,,,,,84.7,-3.4,10,2024-01-13,PWHL,2023/2024,Regular Season
11,10:17,Goal,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v4,17,Gabbie Hughes,28,Amanda Boulier,13,Mikyla Grant-Mentis,50,Kristen Campbell,,5 12 17 28,Lauriane Rougeau - Allie Munroe - Samantha Cogan - Kaitlin Willoughby,,13 15 17 26 28,Mikyla Grant-Mentis - Savannah Harmon - Gabbie Hughes - Emily Clark - Amanda Boulier,83.3,10.8,10,2024-01-13,PWHL,2023/2024,Regular Season
12,11:50,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,19,Rebecca Leslie,,,,,38,Emerance Maschmeyer,,,,,,,-65.7,-14.5,10,2024-01-13,PWHL,2023/2024,Regular Season
13,12:59,Penalty,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,26,Emily Clark,,,,,,,,,,,,,,,10,2024-01-13,PWHL,2023/2024,Regular Season
14,13:30,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,4v5,14,Hayley Scamurra,,,,,50,Kristen Campbell,,,,,,,-62.3,26.9,10,2024-01-13,PWHL,2023/2024,Regular Season
15,15:42,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,19,Rebecca Leslie,,,,,38,Emerance Maschmeyer,,,,,,,-41.0,7.4,10,2024-01-13,PWHL,2023/2024,Regular Season
16,16:25,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,14,Renata Fast,,,,,38,Emerance Maschmeyer,,,,,,,-70.0,-11.1,10,2024-01-13,PWHL,2023/2024,Regular Season
17,18:06,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,76,Maude Poulin-Labelle,,,,,38,Emerance Maschmeyer,,,,,,,54.3,-16.4,10,2024-01-13,PWHL,2023/2024,Regular Season
18,19:03,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,1,event,5v5,34,Hannah Miller,,,,,38,Emerance Maschmeyer,,,,,,,-71.0,27.5,10,2024-01-13,PWHL,2023/2024,Regular Season
19,19:44,Goal,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,1,event,5v5,9,Daryl Watts,3,Zoe Boyd,21,Ashton Bell,50,Kristen Campbell,,6 10 12 19 28,Kali Flanagan - Alexa Vasko - Allie Munroe - Rebecca Leslie - Kaitlin Willoughby,,3 9 11 16 21,Zoe Boyd - Daryl Watts - Akane Shiga - Kateřina Mrázová - Ashton Bell,68.7,18.7,10,2024-01-13,PWHL,2023/2024,Regular Season
20,1:37,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,27,Emma Maltais,,,,,38,Emerance Maschmeyer,,,,,,,-75.7,-8.5,10,2024-01-13,PWHL,2023/2024,Regular Season
21,1:38,Goal,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,24,Natalie Spooner,12,Allie Munroe,27,Emma Maltais,38,Emerance Maschmeyer,,6 12 17 24 27,Kali Flanagan - Allie Munroe - Samantha Cogan - Natalie Spooner - Emma Maltais,,2 13 17 26 71,Aneta Tejralová - Mikyla Grant-Mentis - Gabbie Hughes - Emily Clark - Jincy Roese,-80.3,2.5,10,2024-01-13,PWHL,2023/2024,Regular Season
22,2:03,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,9,Daryl Watts,,,,,37,Erica Howe,,,,,,,58.3,5.4,10,2024-01-13,PWHL,2023/2024,Regular Season
23,2:10,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,94,Fanni Garát-Gasparics,,,,,37,Erica Howe,,,,,,,66.7,23.2,10,2024-01-13,PWHL,2023/2024,Regular Season
24,2:58,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,19,Brianne Jenner,,,,,37,Erica Howe,,,,,,,64.0,-0.3,10,2024-01-13,PWHL,2023/2024,Regular Season
25,3:10,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,3,Zoe Boyd,,,,,37,Erica Howe,,,,,,,44.3,-24.1,10,2024-01-13,PWHL,2023/2024,Regular Season
26,4:26,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,11,Akane Shiga,,,,,37,Erica Howe,,,,,,,67.7,10.2,10,2024-01-13,PWHL,2023/2024,Regular Season
27,5:40,Goal,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,8,Natalie Snodgrass,38,Emerance Maschmeyer,,,37,Erica Howe,,5 17 24 27 76,Lauriane Rougeau - Samantha Cogan - Natalie Spooner - Emma Maltais - Maude Poulin-Labelle,,3 8 21 88 94,Zoe Boyd - Natalie Snodgrass - Ashton Bell - Lexie Adzija - Fanni Garát-Gasparics,75.0,11.1,10,2024-01-13,PWHL,2023/2024,Regular Season
28,8:42,Penalty,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,88,Lexie Adzija,,,,,,,,,,,,,,,10,2024-01-13,PWHL,2023/2024,Regular Season
29,8:45,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,4v5,88,Lexie Adzija,,,,,37,Erica Howe,,,,,,,77.0,1.1,10,2024-01-13,PWHL,2023/2024,Regular Season
30,8:51,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v4,40,Blayre Turnbull,,,,,38,Emerance Maschmeyer,,,,,,,-61.0,-28.6,10,2024-01-13,PWHL,2023/2024,Regular Season
31,9:01,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v4,3,Jocelyne Larocque,,,,,38,Emerance Maschmeyer,,,,,,,-45.0,-21.0,10,2024-01-13,PWHL,2023/2024,Regular Season
32,9:03,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v4,3,Jocelyne Larocque,,,,,38,Emerance Maschmeyer,,,,,,,-37.3,-32.6,10,2024-01-13,PWHL,2023/2024,Regular Season
33,10:23,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v4,6,Kali Flanagan,,,,,38,Emerance Maschmeyer,,,,,,,-61.0,-14.7,10,2024-01-13,PWHL,2023/2024,Regular Season
34,10:27,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v4,28,Kaitlin Willoughby,,,,,38,Emerance Maschmeyer,,,,,,,-68.3,-2.0,10,2024-01-13,PWHL,2023/2024,Regular Season
35,11:03,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,8,Natalie Snodgrass,,,,,37,Erica Howe,,,,,,,72.0,-20.7,10,2024-01-13,PWHL,2023/2024,Regular Season
36,11:03,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,94,Fanni Garát-Gasparics,,,,,37,Erica Howe,,,,,,,73.0,1.1,10,2024-01-13,PWHL,2023/2024,Regular Season
37,11:22,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,76,Maude Poulin-Labelle,,,,,38,Emerance Maschmeyer,,,,,,,-81.0,-0.6,10,2024-01-13,PWHL,2023/2024,Regular Season
38,13:27,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,41,Brittany Howard,,,,,38,Emerance Maschmeyer,,,,,,,-72.7,14.7,10,2024-01-13,PWHL,2023/2024,Regular Season
39,14:12,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,94,Fanni Garát-Gasparics,,,,,37,Erica Howe,,,,,,,69.3,8.8,10,2024-01-13,PWHL,2023/2024,Regular Season
40,14:21,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,2,event,5v5,8,Natalie Snodgrass,,,,,37,Erica Howe,,,,,,,77.7,-5.7,10,2024-01-13,PWHL,2023/2024,Regular Season
41,16:12,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,40,Blayre Turnbull,,,,,38,Emerance Maschmeyer,,,,,,,-51.0,-28.6,10,2024-01-13,PWHL,2023/2024,Regular Season
42,16:22,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,40,Blayre Turnbull,,,,,38,Emerance Maschmeyer,,,,,,,-77.7,0.0,10,2024-01-13,PWHL,2023/2024,Regular Season
43,17:43,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,17,Samantha Cogan,,,,,38,Emerance Maschmeyer,,,,,,,-66.7,13.0,10,2024-01-13,PWHL,2023/2024,Regular Season
44,17:45,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,27,Emma Maltais,,,,,38,Emerance Maschmeyer,,,,,,,-61.0,12.5,10,2024-01-13,PWHL,2023/2024,Regular Season
45,19:51,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,2,event,5v5,24,Natalie Spooner,,,,,38,Emerance Maschmeyer,,,,,,,-31.7,25.5,10,2024-01-13,PWHL,2023/2024,Regular Season
46,0:55,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,3,event,5v5,14,Hayley Scamurra,,,,,37,Erica Howe,,,,,,,65.0,-15.3,10,2024-01-13,PWHL,2023/2024,Regular Season
47,3:09,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,3,event,5v5,28,Kaitlin Willoughby,,,,,38,Emerance Maschmeyer,,,,,,,-64.0,-0.3,10,2024-01-13,PWHL,2023/2024,Regular Season
48,8:11,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,3,event,5v5,17,Gabbie Hughes,,,,,37,Erica Howe,,,,,,,69.3,15.9,10,2024-01-13,PWHL,2023/2024,Regular Season
49,11:34,Goal,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,3,event,5v5,17,Gabbie Hughes,13,Mikyla Grant-Mentis,15,Savannah Harmon,37,Erica Howe,,5 18 22 41 76,Lauriane Rougeau - Jesse Compher - Maggie Connors - Brittany Howard - Maude Poulin-Labelle,,13 15 17 26 28,Mikyla Grant-Mentis - Savannah Harmon - Gabbie Hughes - Emily Clark - Amanda Boulier,81.0,11.6,10,2024-01-13,PWHL,2023/2024,Regular Season
50,14:22,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,3,event,5v5,76,Maude Poulin-Labelle,,,,,38,Emerance Maschmeyer,,,,,,,-59.0,-13.6,10,2024-01-13,PWHL,2023/2024,Regular Season
51,16:28,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,3,event,5v5,14,Renata Fast,,,,,38,Emerance Maschmeyer,,,,,,,-49.0,-0.8,10,2024-01-13,PWHL,2023/2024,Regular Season
52,16:52,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,3,event,5v5,20,Sarah Nurse,,,,,38,Emerance Maschmeyer,,,,,,,-73.0,13.9,10,2024-01-13,PWHL,2023/2024,Regular Season
53,16:53,Shot,Toronto Sceptres,Home,Toronto Sceptres,Ottawa Charge,3,event,5v5,40,Blayre Turnbull,,,,,38,Emerance Maschmeyer,,,,,,,-57.0,27.2,10,2024-01-13,PWHL,2023/2024,Regular Season
54,18:44,Shot,Ottawa Charge,Away,Toronto Sceptres,Ottawa Charge,3,event,5v5,19,Brianne Jenner,,,,,37,Erica Howe,,,,,,,80.3,33.7,10,2024-01-13,PWHL,2023/2024,Regular Season
