id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,xG,ScoreState,BoxID,game_id,game_date,competition,season,state
1,0:20,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,88,Susanna Tapani,,,,,29,Nicole Hensley,,,,,,,48.0,24.6,0.0152,0,O23,98,2024-05-29,PWHL,2023/2024,Playoffs
2,0:43,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,21,Hilary Knight,,,,,29,Nicole Hensley,,,,,,,57.3,26.4,0.0409,0,O17,98,2024-05-29,PWHL,2023/2024,Playoffs
3,1:20,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,2,Emily Brown,,,,,29,Nicole Hensley,,,,,,,45.3,-19.8,0.0458,0,O20,98,2024-05-29,PWHL,2023/2024,Playoffs
4,3:29,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,23,Mellissa Channell-Watkins,,,,,31,Aerin Frankel,,,,,,,51.7,-28.1,0.0318,0,O19,98,2024-05-29,PWHL,2023/2024,Playoffs
5,4:58,Block,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,25,Emma Greco,,,,,31,Aerin Frankel,,,,,,,33.0,1.4,,0,O25,98,2024-05-29,PWHL,2023/2024,Playoffs
6,5:11,Shot,Boston Fleet,Home,Boston Fleet,Minnesota Frost,1,event,5v5,36,Loren Gabel,,,,,29,Nicole Hensley,,,,,,,48.7,-26.6,0.0318,0,O19,98,2024-05-29,PWHL,2023/2024,Playoffs
7,6:10,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,16,Sophie Jaques,,,,,31,Aerin Frankel,,,,,,,38.0,-0.3,0.0420,0,O25,98,2024-05-29,PWHL,2023/2024,Playoffs
8,6:47,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,27,Taylor Heise,,,,,31,Aerin Frankel,,,,,,,71.7,27.5,0.0150,0,O18,98,2024-05-29,PWHL,2023/2024,Playoffs
9,7:34,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,41,Denisa Křížová,,,,,31,Aerin Frankel,,,,,,,45.0,-28.1,0.0318,0,O19,98,2024-05-29,PWHL,2023/2024,Playoffs
10,7:47,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,41,Denisa Křížová,,,,,31,Aerin Frankel,,,,,,,54.7,7.1,0.0573,0,O21,98,2024-05-29,PWHL,2023/2024,Playoffs
11,8:16,Shot,Minnesota Frost,Away,Boston Fleet,Minnesota Frost,1,event,5v5,16,Sophie Jaques,,,,,31,Aerin Frankel,,,,,,,47.7,9.3,0.0573,0,O21,98,2024-05-29,PWHL,2023/2024,Playoffs
