id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,xG,ScoreState,BoxID,game_id,game_date,competition,season,state
1,1:09,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v5,2,Lee Stecklein,,,,,38,Emerance Maschmeyer,,,,,,,37.0,-28.1,0.0400,0,O24,144,2025-02-13,PWHL,2024/2025,Regular Season
2,3:43,Block,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v5,3,Brooke McQuigge,,,,,38,Emerance Maschmeyer,,,,,,,34.3,21.8,,0,O26,144,2025-02-13,PWHL,2024/2025,Regular Season
3,5:11,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v5,16,Sophie Jaques,,,,,38,Emerance Maschmeyer,,,,,,,73.7,19.3,0.0709,0,O08,144,2025-02-13,PWHL,2024/2025,Regular Season
4,5:17,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v5,16,Sophie Jaques,,,,,38,Emerance Maschmeyer,,,,,,,77.0,-1.4,0.1248,0,O11,144,2025-02-13,PWHL,2024/2025,Regular Season
5,5:45,Goal,Ottawa Charge,Home,Ottawa Charge,Minnesota Frost,1,event,5v5,18,Mannon McMahon,17,Gabbie Hughes,26,Emily Clark,29,Nicole Hensley,,2 6 17 18 26,Aneta Tejralová - Stephanie Markowski - Gabbie Hughes - Mannon McMahon - Emily Clark,,16 17 23 26 27,Sophie Jaques - Brooke Bryant - Mellissa Channell-Watkins - Kendall Coyne Schofield - Taylor Heise,73.3,8.2,0.1248,0,O11,144,2025-02-13,PWHL,2024/2025,Regular Season
6,6:08,Penalty,Ottawa Charge,Home,Ottawa Charge,Minnesota Frost,1,event,5v5,6,Stephanie Markowski,,,,,,,,,,,,,,,,1,,144,2025-02-13,PWHL,2024/2025,Regular Season
7,7:00,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v4,3,Brooke McQuigge,,,,,38,Emerance Maschmeyer,,,,,,,71.3,2.8,0.1464,-1,O16,144,2025-02-13,PWHL,2024/2025,Regular Season
8,7:05,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v4,3,Brooke McQuigge,,,,,38,Emerance Maschmeyer,,,,,,,75.3,3.4,0.1985,-1,O11,144,2025-02-13,PWHL,2024/2025,Regular Season
9,7:31,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v4,12,Kelly Pannek,,,,,38,Emerance Maschmeyer,,,,,,,77.0,7.6,0.1985,-1,O11,144,2025-02-13,PWHL,2024/2025,Regular Season
10,7:48,Goal,Ottawa Charge,Home,Ottawa Charge,Minnesota Frost,1,event,4v5,17,Gabbie Hughes,88,Ronja Savolainen,,,29,Nicole Hensley,,17 21 26 88,Gabbie Hughes - Ashton Bell - Emily Clark - Ronja Savolainen,,3 12 13 16 77,Brooke McQuigge - Kelly Pannek - Grace Zumwinkle - Sophie Jaques - Britta Curl-Salemme,74.3,-0.3,0.2319,1,O11,144,2025-02-13,PWHL,2024/2025,Regular Season
11,8:31,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v5,19,Maggie Flaherty,,,,,38,Emerance Maschmeyer,,,,,,,33.7,0.8,0.0454,-2,O25,144,2025-02-13,PWHL,2024/2025,Regular Season
12,8:48,Shot,Ottawa Charge,Home,Ottawa Charge,Minnesota Frost,1,event,5v5,18,Mannon McMahon,,,,,29,Nicole Hensley,,,,,,,54.3,31.4,0.0232,2,O23,144,2025-02-13,PWHL,2024/2025,Regular Season
13,9:28,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v5,14,Dominique Petrie,,,,,38,Emerance Maschmeyer,,,,,,,70.3,6.8,0.0969,-2,O16,144,2025-02-13,PWHL,2024/2025,Regular Season
14,10:07,Goal,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v5,77,Britta Curl-Salemme,23,Mellissa Channell-Watkins,,,38,Emerance Maschmeyer,,2 6 13 27 37,Aneta Tejralová - Stephanie Markowski - Tereza Vanišová - Shiann Darkangelo - Rebecca Leslie,,12 13 16 23 77,Kelly Pannek - Grace Zumwinkle - Sophie Jaques - Mellissa Channell-Watkins - Britta Curl-Salemme,62.0,-27.8,0.0402,-2,O13,144,2025-02-13,PWHL,2024/2025,Regular Season
15,11:12,Shot,Ottawa Charge,Home,Ottawa Charge,Minnesota Frost,1,event,5v5,92,Danielle Serdachny,,,,,29,Nicole Hensley,,,,,,,74.7,-13.0,0.0782,1,O06,144,2025-02-13,PWHL,2024/2025,Regular Season
16,11:45,Shot,Minnesota Frost,Away,Ottawa Charge,Minnesota Frost,1,event,5v5,27,Taylor Heise,,,,,38,Emerance Maschmeyer,,,,,,,68.3,28.1,0.0161,-1,O18,144,2025-02-13,PWHL,2024/2025,Regular Season
17,11:58,Shot,Ottawa Charge,Home,Ottawa Charge,Minnesota Frost,1,event,5v5,26,Emily Clark,,,,,29,Nicole Hensley,,,,,,,78.7,4.2,0.1463,1,O11,144,2025-02-13,PWHL,2024/2025,Regular Season
18,12:48,Shot,Ottawa Charge,Home,Ottawa Charge,Minnesota Frost,1,event,5v5,27,Shiann Darkangelo,,,,,29,Nicole Hensley,,,,,,,82.3,4.2,0.1463,1,O11,144,2025-02-13,PWHL,2024/2025,Regular Season
