id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,xG,ScoreState,BoxID,game_id,game_date,competition,season,state
1,0:42,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,24,Natalie Spooner,,,,,82,Kayle Osborne,,,,,,,68.0,0.3,0.1041,0,O15,232,2025-12-21,PWHL,2025/2026,Regular Season
2,1:08,Block,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,18,Jesse Compher,,,,,82,Kayle Osborne,,,,,,,46.7,20.7,,0,O22,232,2025-12-21,PWHL,2025/2026,Regular Season
3,2:14,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,22,Maggie Connors,,,,,82,Kayle Osborne,,,,,,,55.3,-28.1,0.0318,0,O19,232,2025-12-21,PWHL,2025/2026,Regular Season
4,2:32,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,6,Kali Flanagan,,,,,82,Kayle Osborne,,,,,,,72.0,25.2,0.0150,0,O18,232,2025-12-21,PWHL,2025/2026,Regular Season
5,4:33,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,20,Allyson Simpson,,,,,29,Elaine Chuli,,,,,,,67.0,-16.1,0.0371,0,O13,232,2025-12-21,PWHL,2025/2026,Regular Season
6,5:00,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,11,Kiara Zanon,,,,,82,Kayle Osborne,,,,,,,63.0,-30.6,0.0138,0,O12,232,2025-12-21,PWHL,2025/2026,Regular Season
7,5:01,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,2,Jessica Kondas,,,,,82,Kayle Osborne,,,,,,,74.7,-24.1,0.0177,0,O05,232,2025-12-21,PWHL,2025/2026,Regular Season
8,5:16,Penalty,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,20,Emma Gentry,,,,,,,,,,,,,,,,0,,232,2025-12-21,PWHL,2025/2026,Regular Season
9,7:32,Block,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,25,Clara Van Wieren,,,,,82,Kayle Osborne,,,,,,,68.0,-28.9,,0,O12,232,2025-12-21,PWHL,2025/2026,Regular Season
10,7:36,Block,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,6,Kali Flanagan,,,,,82,Kayle Osborne,,,,,,,52.7,8.8,,0,O21,232,2025-12-21,PWHL,2025/2026,Regular Season
