id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,xG,ScoreState,BoxID,game_id,game_date,competition,season,state
1,0:22,Shot,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,5v5,17,Ella Shelton,,,,,35,Ann-Renée Desbiens,,,,,,,54.0,-34.9,0.0318,0,O19,46,2024-03-06,PWHL,2023/2024,Regular Season
2,1:09,Penalty,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v5,21,Tereza Vanišová,,,,,,,,,,,,,,,,0,,46,2024-03-06,PWHL,2023/2024,Regular Season
3,1:22,Block,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,4v5,14,Jillian Dempsey,,,,,30,Corinne Schroeder,,,,,,,50.3,27.8,,0,O23,46,2024-03-06,PWHL,2023/2024,Regular Season
4,5:30,Goal,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v5,14,Jillian Dempsey,16,Sarah Lefort,2,Mariah Keopple,30,Corinne Schroeder,,3 9 12 25 28,Olivia Zafuto - Jessie Eldridge - Chloé Aurard-Bushee - Alex Carpenter - Micah Zandee-Hart,,2 14 16 17 23,Mariah Keopple - Jillian Dempsey - Sarah Lefort - Alexandra Poznikoff - Erin Ambrose,64.3,-4.2,0.1041,0,O15,46,2024-03-06,PWHL,2023/2024,Regular Season
5,6:30,Shot,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v5,17,Alexandra Poznikoff,,,,,30,Corinne Schroeder,,,,,,,41.7,-34.3,0.0380,1,O19,46,2024-03-06,PWHL,2023/2024,Regular Season
6,6:30,Shot,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v5,12,Leah Lum,,,,,30,Corinne Schroeder,,,,,,,77.0,-7.4,0.1463,1,O11,46,2024-03-06,PWHL,2023/2024,Regular Season
7,6:30,Penalty,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,5v5,6,Brooke Hobson,,,,,,,,,,,,,,,,-1,,46,2024-03-06,PWHL,2023/2024,Regular Season
8,6:38,Shot,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v4,4,Catherine Daoust,,,,,30,Corinne Schroeder,,,,,,,78.7,2.8,0.2170,1,O11,46,2024-03-06,PWHL,2023/2024,Regular Season
9,6:43,Shot,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v4,12,Leah Lum,,,,,30,Corinne Schroeder,,,,,,,82.3,7.4,0.1292,1,O08,46,2024-03-06,PWHL,2023/2024,Regular Season
10,6:48,Shot,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,4v5,14,Jaime Bourbonnais,,,,,35,Ann-Renée Desbiens,,,,,,,64.0,16.1,0.1575,-1,O16,46,2024-03-06,PWHL,2023/2024,Regular Season
11,6:49,Shot,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,4v5,3,Olivia Zafuto,,,,,35,Ann-Renée Desbiens,,,,,,,59.7,-7.4,0.1388,-1,O14,46,2024-03-06,PWHL,2023/2024,Regular Season
12,7:21,Shot,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v4,29,Marie-Philip Poulin,,,,,30,Corinne Schroeder,,,,,,,59.7,16.1,0.1610,1,O16,46,2024-03-06,PWHL,2023/2024,Regular Season
13,7:25,Shot,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,4v5,28,Micah Zandee-Hart,,,,,35,Ann-Renée Desbiens,,,,,,,52.3,-28.3,0.0586,-1,O19,46,2024-03-06,PWHL,2023/2024,Regular Season
14,7:30,Shot,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,4v5,9,Jessie Eldridge,,,,,35,Ann-Renée Desbiens,,,,,,,75.7,-7.6,0.2125,-1,O11,46,2024-03-06,PWHL,2023/2024,Regular Season
15,8:35,Shot,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,5v5,17,Ella Shelton,,,,,35,Ann-Renée Desbiens,,,,,,,-13.7,-0.8,0.0591,-1,N05,46,2024-03-06,PWHL,2023/2024,Regular Season
16,10:53,Shot,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,5v5,17,Ella Shelton,,,,,35,Ann-Renée Desbiens,,,,,,,67.0,-4.2,0.0838,-1,O14,46,2024-03-06,PWHL,2023/2024,Regular Season
17,11:03,Goal,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v5,26,Sarah Bujold,28,Catherine Dubois,24,Ann-Sophie Bettez,30,Corinne Schroeder,,6 14 18 27 67,Brooke Hobson - Jaime Bourbonnais - Élizabeth Giguère - Jade Downie-Landry - Emma Woods,,6 10 24 26 28,Madison Bizal - Brigitte Laganière - Ann-Sophie Bettez - Sarah Bujold - Catherine Dubois,71.7,6.0,0.1061,1,O16,46,2024-03-06,PWHL,2023/2024,Regular Season
18,11:22,Shot,New York Sirens,Home,New York Sirens,Montréal Victoire,1,event,5v5,19,Paetyn Levis,,,,,35,Ann-Renée Desbiens,,,,,,,71.0,-17.8,0.0402,-2,O13,46,2024-03-06,PWHL,2023/2024,Regular Season
19,12:55,Shot,Montréal Victoire,Away,New York Sirens,Montréal Victoire,1,event,5v5,23,Erin Ambrose,,,,,30,Corinne Schroeder,,,,,,,58.3,3.4,0.1520,2,O15,46,2024-03-06,PWHL,2023/2024,Regular Season
