id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state
1,0:52,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,15,Gabby Rosenthal,,,,,50,Kristen Campbell,,,,,,,-69.0,4.0,150,2025-02-19,PWHL,2024/2025,Regular Season
2,1:37,Block,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,29,Emmy Fecteau,,,,,50,Kristen Campbell,,,,,,,-65.0,-16.4,150,2025-02-19,PWHL,2024/2025,Regular Season
3,2:21,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,17,Ella Shelton,,,,,50,Kristen Campbell,,,,,,,-73.7,21.0,150,2025-02-19,PWHL,2024/2025,Regular Season
4,2:57,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,40,Blayre Turnbull,,,,,30,Corinne Schroeder,,,,,,,71.3,-9.9,150,2025-02-19,PWHL,2024/2025,Regular Season
5,3:22,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,16,Hayley Scamurra,,,,,30,Corinne Schroeder,,,,,,,84.0,-7.6,150,2025-02-19,PWHL,2024/2025,Regular Season
6,4:40,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,22,Maggie Connors,,,,,30,Corinne Schroeder,,,,,,,67.0,-31.4,150,2025-02-19,PWHL,2024/2025,Regular Season
7,5:34,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,27,Jade Downie-Landry,,,,,50,Kristen Campbell,,,,,,,-33.0,-19.6,150,2025-02-19,PWHL,2024/2025,Regular Season
8,6:51,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,9,Daryl Watts,,,,,30,Corinne Schroeder,,,,,,,72.0,10.2,150,2025-02-19,PWHL,2024/2025,Regular Season
9,7:01,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,6,Kali Flanagan,,,,,30,Corinne Schroeder,,,,,,,35.0,-2.3,150,2025-02-19,PWHL,2024/2025,Regular Season
10,8:12,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,24,Natalie Spooner,,,,,30,Corinne Schroeder,,,,,,,50.3,-21.0,150,2025-02-19,PWHL,2024/2025,Regular Season
11,9:00,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,29,Emmy Fecteau,,,,,50,Kristen Campbell,,,,,,,-50.3,-26.4,150,2025-02-19,PWHL,2024/2025,Regular Season
12,9:09,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,15,Gabby Rosenthal,,,,,50,Kristen Campbell,,,,,,,-80.3,-12.8,150,2025-02-19,PWHL,2024/2025,Regular Season
13,9:50,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,6,Kali Flanagan,,,,,30,Corinne Schroeder,,,,,,,60.0,-1.7,150,2025-02-19,PWHL,2024/2025,Regular Season
14,11:57,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,25,Laura Kluge,,,,,30,Corinne Schroeder,,,,,,,64.7,1.7,150,2025-02-19,PWHL,2024/2025,Regular Season
15,14:40,Block,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,14,Renata Fast,,,,,30,Corinne Schroeder,,,,,,,39.0,-6.0,150,2025-02-19,PWHL,2024/2025,Regular Season
16,15:44,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,22,Maggie Connors,,,,,30,Corinne Schroeder,,,,,,,81.7,10.5,150,2025-02-19,PWHL,2024/2025,Regular Season
17,16:17,Block,New York Sirens,Home,New York Sirens,Toronto Sceptres,1,event,5v5,17,Ella Shelton,,,,,50,Kristen Campbell,,,,,,,-36.0,24.6,150,2025-02-19,PWHL,2024/2025,Regular Season
18,17:16,Shot,Toronto Sceptres,Away,New York Sirens,Toronto Sceptres,1,event,5v5,6,Kali Flanagan,,,,,30,Corinne Schroeder,,,,,,,33.3,-9.3,150,2025-02-19,PWHL,2024/2025,Regular Season
19,0:11,Shot,New York Sirens,Home,New York Sirens,Toronto Sceptres,2,event,5v5,17,Ella Shelton,,,,,50,Kristen Campbell,,,,,,,38.0,-1.4,150,2025-02-19,PWHL,2024/2025,Regular Season
