id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,xG,ScoreState,BoxID,game_id,game_date,competition,season,state
1,0:12,Block,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,14,Hayley Scamurra,,,,,35,Ann-Renée Desbiens,,,,,,,54.0,-22.7,,0,O19,106,2024-11-30,PWHL,2024/2025,Regular Season
2,0:42,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,44,Amanda Boulier,,,,,38,Emerance Maschmeyer,,,,,,,30.0,30.9,0.0258,0,O26,106,2024-11-30,PWHL,2024/2025,Regular Season
3,1:24,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,92,Danielle Serdachny,,,,,35,Ann-Renée Desbiens,,,,,,,87.0,32.9,0.0224,0,O10,106,2024-11-30,PWHL,2024/2025,Regular Season
4,1:35,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,43,Kristin O'Neill,,,,,38,Emerance Maschmeyer,,,,,,,68.7,-18.7,0.0371,0,O13,106,2024-11-30,PWHL,2024/2025,Regular Season
5,1:40,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,9,Kati Tabin,,,,,38,Emerance Maschmeyer,,,,,,,29.0,-5.1,,0,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
6,1:42,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,21,Maureen Murphy,,,,,38,Emerance Maschmeyer,,,,,,,52.0,-24.6,,0,O19,106,2024-11-30,PWHL,2024/2025,Regular Season
7,2:26,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,15,Savannah Harmon,,,,,35,Ann-Renée Desbiens,,,,,,,57.7,23.0,0.0409,0,O17,106,2024-11-30,PWHL,2024/2025,Regular Season
8,3:22,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,7,Laura Stacey,,,,,38,Emerance Maschmeyer,,,,,,,91.0,6.5,0.1500,0,O02,106,2024-11-30,PWHL,2024/2025,Regular Season
9,3:41,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,24,Abby Boreen,,,,,38,Emerance Maschmeyer,,,,,,,91.0,-9.3,0.1500,0,O02,106,2024-11-30,PWHL,2024/2025,Regular Season
10,3:45,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,23,Erin Ambrose,,,,,38,Emerance Maschmeyer,,,,,,,59.0,14.5,,0,O16,106,2024-11-30,PWHL,2024/2025,Regular Season
11,3:52,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,23,Erin Ambrose,,,,,38,Emerance Maschmeyer,,,,,,,33.0,-27.8,,0,O24,106,2024-11-30,PWHL,2024/2025,Regular Season
12,4:02,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,23,Erin Ambrose,,,,,38,Emerance Maschmeyer,,,,,,,29.0,30.0,,0,O26,106,2024-11-30,PWHL,2024/2025,Regular Season
13,4:13,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,23,Erin Ambrose,,,,,38,Emerance Maschmeyer,,,,,,,27.0,-10.2,0.0420,0,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
14,5:37,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,26,Clair DeGeorge,,,,,38,Emerance Maschmeyer,,,,,,,74.3,-16.4,0.0659,0,O06,106,2024-11-30,PWHL,2024/2025,Regular Season
15,6:55,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,7,Laura Stacey,,,,,38,Emerance Maschmeyer,,,,,,,83.0,6.5,0.2112,0,O07,106,2024-11-30,PWHL,2024/2025,Regular Season
16,7:48,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,94,Anna Meixner,,,,,35,Ann-Renée Desbiens,,,,,,,67.7,-0.3,0.1041,0,O15,106,2024-11-30,PWHL,2024/2025,Regular Season
17,7:49,Goal,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,26,Emily Clark,,,,,35,Ann-Renée Desbiens,,2 12 24 43 44,Mariah Keopple - Jenn Gardiner - Abby Boreen - Kristin O'Neill - Amanda Boulier,,6 21 26 92 94,Stephanie Markowski - Ashton Bell - Emily Clark - Danielle Serdachny - Anna Meixner,77.7,4.2,0.1248,0,O11,106,2024-11-30,PWHL,2024/2025,Regular Season
18,8:57,Block,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,21,Ashton Bell,,,,,35,Ann-Renée Desbiens,,,,,,,36.0,28.6,,1,O26,106,2024-11-30,PWHL,2024/2025,Regular Season
19,10:01,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,7,Laura Stacey,,,,,38,Emerance Maschmeyer,,,,,,,82.0,4.8,0.1328,-1,O11,106,2024-11-30,PWHL,2024/2025,Regular Season
20,10:18,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,71,Anna Kjellbin,,,,,38,Emerance Maschmeyer,,,,,,,36.7,0.8,,-1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
21,10:29,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,37,Rebecca Leslie,,,,,35,Ann-Renée Desbiens,,,,,,,60.0,7.6,0.1061,1,O16,106,2024-11-30,PWHL,2024/2025,Regular Season
22,10:47,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,88,Ronja Savolainen,,,,,35,Ann-Renée Desbiens,,,,,,,39.7,4.8,0.0500,1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
23,11:02,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,14,Hayley Scamurra,,,,,35,Ann-Renée Desbiens,,,,,,,86.3,-9.1,0.0782,1,O06,106,2024-11-30,PWHL,2024/2025,Regular Season
24,12:53,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,2,Aneta Tejralová,,,,,35,Ann-Renée Desbiens,,,,,,,73.0,23.5,0.0841,1,O08,106,2024-11-30,PWHL,2024/2025,Regular Season
25,14:09,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,9,Kati Tabin,,,,,38,Emerance Maschmeyer,,,,,,,63.0,-37.7,0.0148,-1,O12,106,2024-11-30,PWHL,2024/2025,Regular Season
26,14:15,Penalty,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,14,Hayley Scamurra,,,,,,,,,,,,,,,,1,,106,2024-11-30,PWHL,2024/2025,Regular Season
27,14:58,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,23,Erin Ambrose,,,,,38,Emerance Maschmeyer,,,,,,,28.0,-17.3,0.0707,-1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
28,15:07,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,29,Marie-Philip Poulin,,,,,38,Emerance Maschmeyer,,,,,,,49.0,19.8,0.0652,-1,O22,106,2024-11-30,PWHL,2024/2025,Regular Season
29,15:24,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,3,Cayla Barnes,,,,,38,Emerance Maschmeyer,,,,,,,26.0,-24.1,,-1,O24,106,2024-11-30,PWHL,2024/2025,Regular Season
30,15:33,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,3,Cayla Barnes,,,,,38,Emerance Maschmeyer,,,,,,,34.7,-17.3,0.0707,-1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
31,15:39,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,24,Abby Boreen,,,,,38,Emerance Maschmeyer,,,,,,,85.3,-24.4,0.0304,-1,O05,106,2024-11-30,PWHL,2024/2025,Regular Season
32,15:55,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,42,Claire Dalton,,,,,38,Emerance Maschmeyer,,,,,,,31.0,17.6,,-1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
33,16:16,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,3,Cayla Barnes,,,,,38,Emerance Maschmeyer,,,,,,,38.7,-4.2,0.0450,-1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
34,16:17,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v5,25,Lina Ljungblom,,,,,38,Emerance Maschmeyer,,,,,,,53.0,9.9,,-1,O21,106,2024-11-30,PWHL,2024/2025,Regular Season
35,17:16,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,13,Tereza Vanišová,,,,,35,Ann-Renée Desbiens,,,,,,,76.3,11.6,0.0841,1,O08,106,2024-11-30,PWHL,2024/2025,Regular Season
36,17:37,Block,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,21,Ashton Bell,,,,,35,Ann-Renée Desbiens,,,,,,,30.3,35.1,,1,O26,106,2024-11-30,PWHL,2024/2025,Regular Season
37,18:02,Penalty,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,1,event,5v5,92,Danielle Serdachny,,,,,,,,,,,,,,,,1,,106,2024-11-30,PWHL,2024/2025,Regular Season
38,18:15,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,7,Laura Stacey,,,,,38,Emerance Maschmeyer,,,,,,,62.3,-20.7,,-1,O13,106,2024-11-30,PWHL,2024/2025,Regular Season
39,18:23,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,23,Erin Ambrose,,,,,38,Emerance Maschmeyer,,,,,,,38.7,-2.5,0.0707,-1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
40,18:48,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,7,Laura Stacey,,,,,38,Emerance Maschmeyer,,,,,,,65.3,-26.4,0.0627,-1,O13,106,2024-11-30,PWHL,2024/2025,Regular Season
41,18:58,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,29,Marie-Philip Poulin,,,,,38,Emerance Maschmeyer,,,,,,,51.3,22.7,0.0652,-1,O22,106,2024-11-30,PWHL,2024/2025,Regular Season
42,19:23,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,7,Laura Stacey,,,,,38,Emerance Maschmeyer,,,,,,,29.0,3.7,,-1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
43,19:33,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,29,Marie-Philip Poulin,,,,,38,Emerance Maschmeyer,,,,,,,65.0,-3.4,0.1679,-1,O15,106,2024-11-30,PWHL,2024/2025,Regular Season
44,19:43,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,7,Laura Stacey,,,,,38,Emerance Maschmeyer,,,,,,,69.7,-24.9,0.0627,-1,O13,106,2024-11-30,PWHL,2024/2025,Regular Season
45,19:51,Penalty,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,1,event,5v4,29,Marie-Philip Poulin,,,,,,,,,,,,,,,,-1,,106,2024-11-30,PWHL,2024/2025,Regular Season
46,2:15,Block,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,88,Ronja Savolainen,,,,,35,Ann-Renée Desbiens,,,,,,,60.3,13.0,,1,O16,106,2024-11-30,PWHL,2024/2025,Regular Season
47,2:20,Goal,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,92,Danielle Serdachny,88,Ronja Savolainen,17,Gabbie Hughes,35,Ann-Renée Desbiens,,7 9 29 43 71,Laura Stacey - Kati Tabin - Marie-Philip Poulin - Kristin O'Neill - Anna Kjellbin,,2 10 17 88 92,Aneta Tejralová - Alexa Vasko - Gabbie Hughes - Ronja Savolainen - Danielle Serdachny,87.0,-16.7,0.0782,1,O06,106,2024-11-30,PWHL,2024/2025,Regular Season
48,2:58,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,13,Alexandra Labelle,,,,,38,Emerance Maschmeyer,,,,,,,17.3,-5.4,0.0597,-2,N02,106,2024-11-30,PWHL,2024/2025,Regular Season
49,3:25,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,42,Claire Dalton,,,,,38,Emerance Maschmeyer,,,,,,,50.7,-14.2,0.0496,-2,O20,106,2024-11-30,PWHL,2024/2025,Regular Season
50,3:48,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,15,Savannah Harmon,,,,,35,Ann-Renée Desbiens,,,,,,,81.0,-9.3,0.0982,2,O06,106,2024-11-30,PWHL,2024/2025,Regular Season
51,3:50,Block,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,71,Jincy Roese,,,,,35,Ann-Renée Desbiens,,,,,,,48.3,-39.7,,2,O19,106,2024-11-30,PWHL,2024/2025,Regular Season
52,3:59,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,42,Claire Dalton,,,,,38,Emerance Maschmeyer,,,,,,,60.0,27.8,0.0443,-2,O17,106,2024-11-30,PWHL,2024/2025,Regular Season
53,4:32,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,44,Amanda Boulier,,,,,38,Emerance Maschmeyer,,,,,,,30.7,31.7,,-2,O26,106,2024-11-30,PWHL,2024/2025,Regular Season
54,5:35,Goal,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,24,Abby Boreen,18,Mikyla Grant-Mentis,,,38,Emerance Maschmeyer,,9 13 18 24 44,Kati Tabin - Alexandra Labelle - Mikyla Grant-Mentis - Abby Boreen - Amanda Boulier,,15 26 71 92 94,Savannah Harmon - Emily Clark - Jincy Roese - Danielle Serdachny - Anna Meixner,57.3,-8.2,0.0847,-2,O14,106,2024-11-30,PWHL,2024/2025,Regular Season
55,6:04,Block,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,2,Mariah Keopple,,,,,38,Emerance Maschmeyer,,,,,,,30.0,-15.6,,-1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
56,6:25,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,18,Mikyla Grant-Mentis,,,,,38,Emerance Maschmeyer,,,,,,,47.7,16.1,0.0414,-1,O22,106,2024-11-30,PWHL,2024/2025,Regular Season
57,7:08,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,71,Anna Kjellbin,,,,,38,Emerance Maschmeyer,,,,,,,43.0,39.1,0.0163,-1,O23,106,2024-11-30,PWHL,2024/2025,Regular Season
58,7:52,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,25,Lina Ljungblom,,,,,38,Emerance Maschmeyer,,,,,,,67.3,-7.4,0.0838,-1,O14,106,2024-11-30,PWHL,2024/2025,Regular Season
59,8:04,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,7,Laura Stacey,,,,,38,Emerance Maschmeyer,,,,,,,67.3,39.4,0.0240,-1,O10,106,2024-11-30,PWHL,2024/2025,Regular Season
60,8:35,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,17,Gabbie Hughes,,,,,35,Ann-Renée Desbiens,,,,,,,71.0,-9.3,0.0929,1,O14,106,2024-11-30,PWHL,2024/2025,Regular Season
61,8:54,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,15,Savannah Harmon,,,,,35,Ann-Renée Desbiens,,,,,,,67.3,-20.4,0.0443,1,O13,106,2024-11-30,PWHL,2024/2025,Regular Season
62,9:57,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,21,Maureen Murphy,,,,,38,Emerance Maschmeyer,,,,,,,66.0,9.3,0.0959,-1,O16,106,2024-11-30,PWHL,2024/2025,Regular Season
63,10:42,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,88,Ronja Savolainen,,,,,35,Ann-Renée Desbiens,,,,,,,29.3,16.7,0.0500,1,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
64,10:44,Penalty,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,16,Kateřina Mrázová,,,,,,,,,,,,,,,,1,,106,2024-11-30,PWHL,2024/2025,Regular Season
65,11:03,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v4,29,Marie-Philip Poulin,,,,,38,Emerance Maschmeyer,,,,,,,69.7,23.5,0.0690,-1,O17,106,2024-11-30,PWHL,2024/2025,Regular Season
66,11:28,Goal,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v4,7,Laura Stacey,23,Erin Ambrose,43,Kristin O'Neill,38,Emerance Maschmeyer,,7 21 23 29 43,Laura Stacey - Maureen Murphy - Erin Ambrose - Marie-Philip Poulin - Kristin O'Neill,,2 13 14 88,Aneta Tejralová - Tereza Vanišová - Hayley Scamurra - Ronja Savolainen,58.3,-16.7,0.1289,-1,O14,106,2024-11-30,PWHL,2024/2025,Regular Season
67,13:24,Penalty,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,37,Rebecca Leslie,,,,,,,,,,,,,,,,0,,106,2024-11-30,PWHL,2024/2025,Regular Season
68,13:43,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v4,43,Kristin O'Neill,,,,,38,Emerance Maschmeyer,,,,,,,86.0,7.6,0.1099,0,O08,106,2024-11-30,PWHL,2024/2025,Regular Season
69,13:44,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v4,43,Kristin O'Neill,,,,,38,Emerance Maschmeyer,,,,,,,83.0,6.2,0.3021,0,O07,106,2024-11-30,PWHL,2024/2025,Regular Season
70,14:03,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v4,23,Erin Ambrose,,,,,38,Emerance Maschmeyer,,,,,,,31.0,13.9,0.0661,0,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
71,14:19,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v4,21,Maureen Murphy,,,,,38,Emerance Maschmeyer,,,,,,,67.7,4.8,0.1377,0,O16,106,2024-11-30,PWHL,2024/2025,Regular Season
72,15:01,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,4v5,15,Savannah Harmon,,,,,35,Ann-Renée Desbiens,,,,,,,-71.0,14.5,0.0934,0,D13,106,2024-11-30,PWHL,2024/2025,Regular Season
73,16:19,Penalty,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,13,Alexandra Labelle,,,,,,,,,,,,,,,,0,,106,2024-11-30,PWHL,2024/2025,Regular Season
74,16:27,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v4,26,Emily Clark,,,,,35,Ann-Renée Desbiens,,,,,,,33.0,16.7,0.0661,0,O25,106,2024-11-30,PWHL,2024/2025,Regular Season
75,16:37,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v4,92,Danielle Serdachny,,,,,35,Ann-Renée Desbiens,,,,,,,66.0,-26.6,0.0586,0,O13,106,2024-11-30,PWHL,2024/2025,Regular Season
76,17:28,Goal,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v4,13,Tereza Vanišová,2,Aneta Tejralová,,,35,Ann-Renée Desbiens,,18 23 43 44,Mikyla Grant-Mentis - Erin Ambrose - Kristin O'Neill - Amanda Boulier,,2 13 15 16 17,Aneta Tejralová - Tereza Vanišová - Savannah Harmon - Kateřina Mrázová - Gabbie Hughes,68.0,-4.2,0.1210,0,O14,106,2024-11-30,PWHL,2024/2025,Regular Season
77,18:36,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,43,Kristin O'Neill,,,,,38,Emerance Maschmeyer,,,,,,,65.3,6.2,0.0959,-1,O16,106,2024-11-30,PWHL,2024/2025,Regular Season
78,18:59,Shot,Ottawa Charge,Away,Montréal Victoire,Ottawa Charge,2,event,5v5,26,Emily Clark,,,,,35,Ann-Renée Desbiens,,,,,,,79.7,-15.0,0.0782,1,O06,106,2024-11-30,PWHL,2024/2025,Regular Season
79,19:31,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,2,event,5v5,17,Dara Greig,,,,,38,Emerance Maschmeyer,,,,,,,75.0,2.5,0.1328,-1,O11,106,2024-11-30,PWHL,2024/2025,Regular Season
80,0:31,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,3,event,5v5,29,Marie-Philip Poulin,,,,,38,Emerance Maschmeyer,,,,,,,28.0,-38.0,0.0429,-1,O24,106,2024-11-30,PWHL,2024/2025,Regular Season
81,0:37,Shot,Montréal Victoire,Home,Montréal Victoire,Ottawa Charge,3,event,5v5,12,Jenn Gardiner,,,,,38,Emerance Maschmeyer,,,,,,,62.0,-1.1,0.1110,-1,O15,106,2024-11-30,PWHL,2024/2025,Regular Season
