id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,xG,ScoreState,BoxID,game_id,game_date,competition,season,state
1,0:37,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,21,Hilary Knight,,,,,38,Emerance Maschmeyer,,,,,,,52.3,-17.8,0.0458,0,O20,113,2024-12-17,PWHL,2024/2025,Regular Season
2,1:15,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,92,Danielle Serdachny,,,,,31,Aerin Frankel,,,,,,,84.0,31.4,0.0224,0,O10,113,2024-12-17,PWHL,2024/2025,Regular Season
3,1:45,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,8,Natalie Snodgrass,,,,,31,Aerin Frankel,,,,,,,63.7,24.6,0.0409,0,O17,113,2024-12-17,PWHL,2024/2025,Regular Season
4,2:41,Block,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,11,Alina Müller,,,,,38,Emerance Maschmeyer,,,,,,,55.0,-24.6,,0,O19,113,2024-12-17,PWHL,2024/2025,Regular Season
5,3:46,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,18,Mannon McMahon,,,,,31,Aerin Frankel,,,,,,,65.3,30.0,0.0150,0,O18,113,2024-12-17,PWHL,2024/2025,Regular Season
6,6:40,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,88,Ronja Savolainen,,,,,31,Aerin Frankel,,,,,,,59.3,-6.5,0.1041,0,O15,113,2024-12-17,PWHL,2024/2025,Regular Season
7,7:11,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,37,Rebecca Leslie,,,,,31,Aerin Frankel,,,,,,,38.7,4.0,0.0420,0,O25,113,2024-12-17,PWHL,2024/2025,Regular Season
8,7:49,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,19,Hannah Bilka,,,,,38,Emerance Maschmeyer,,,,,,,75.0,10.5,0.1248,0,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
9,7:53,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,19,Hannah Bilka,,,,,38,Emerance Maschmeyer,,,,,,,73.3,7.6,0.1248,0,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
10,9:07,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,88,Lexie Adzija,,,,,38,Emerance Maschmeyer,,,,,,,78.7,2.5,0.1248,0,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
11,9:16,Block,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,22,Jessica DiGirolamo,,,,,38,Emerance Maschmeyer,,,,,,,64.7,17.8,,0,O17,113,2024-12-17,PWHL,2024/2025,Regular Season
12,9:23,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,26,Emily Clark,,,,,31,Aerin Frankel,,,,,,,81.0,6.0,0.1248,0,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
13,9:31,Block,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,21,Hilary Knight,,,,,38,Emerance Maschmeyer,,,,,,,46.0,-21.2,,0,O20,113,2024-12-17,PWHL,2024/2025,Regular Season
14,12:10,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,21,Ashton Bell,,,,,31,Aerin Frankel,,,,,,,43.0,18.1,0.0386,0,O22,113,2024-12-17,PWHL,2024/2025,Regular Season
15,12:43,Block,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,15,Savannah Harmon,,,,,31,Aerin Frankel,,,,,,,34.7,-9.1,,0,O25,113,2024-12-17,PWHL,2024/2025,Regular Season
16,15:50,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,47,Jamie Lee Rattray,,,,,38,Emerance Maschmeyer,,,,,,,72.0,4.0,0.0899,0,O16,113,2024-12-17,PWHL,2024/2025,Regular Season
17,15:59,Block,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,37,Rebecca Leslie,,,,,31,Aerin Frankel,,,,,,,54.7,15.3,,0,O22,113,2024-12-17,PWHL,2024/2025,Regular Season
18,16:12,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,7,Sidney Morin,,,,,38,Emerance Maschmeyer,,,,,,,60.3,14.7,0.0899,0,O16,113,2024-12-17,PWHL,2024/2025,Regular Season
19,16:33,Block,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,19,Hannah Bilka,,,,,38,Emerance Maschmeyer,,,,,,,45.0,2.5,,0,O21,113,2024-12-17,PWHL,2024/2025,Regular Season
20,16:49,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,1,event,5v5,19,Hannah Bilka,,,,,38,Emerance Maschmeyer,,,,,,,61.3,9.6,0.0899,0,O16,113,2024-12-17,PWHL,2024/2025,Regular Season
21,18:22,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,13,Tereza Vanišová,,,,,31,Aerin Frankel,,,,,,,75.0,6.0,0.1248,0,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
22,19:08,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,1,event,5v5,26,Emily Clark,,,,,31,Aerin Frankel,,,,,,,81.0,20.7,0.0296,0,O09,113,2024-12-17,PWHL,2024/2025,Regular Season
23,0:46,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,2,event,5v5,19,Brianne Jenner,,,,,31,Aerin Frankel,,,,,,,57.3,5.7,0.1041,0,O15,113,2024-12-17,PWHL,2024/2025,Regular Season
24,2:18,Goal,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,47,Jamie Lee Rattray,25,Emma Greco,,,38,Emerance Maschmeyer,,7 22 36 47 88,Sidney Morin - Jessica DiGirolamo - Loren Gabel - Jamie Lee Rattray - Lexie Adzija,,6 8 19 21 94,Stephanie Markowski - Natalie Snodgrass - Brianne Jenner - Ashton Bell - Anna Meixner,76.0,0.6,0.1248,0,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
25,3:46,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,37,Theresa Schafzahl,,,,,38,Emerance Maschmeyer,,,,,,,67.0,-6.0,0.0929,1,O14,113,2024-12-17,PWHL,2024/2025,Regular Season
26,4:51,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,21,Hilary Knight,,,,,38,Emerance Maschmeyer,,,,,,,70.7,-5.7,0.0929,1,O14,113,2024-12-17,PWHL,2024/2025,Regular Season
27,5:22,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,47,Jamie Lee Rattray,,,,,38,Emerance Maschmeyer,,,,,,,80.0,5.1,0.1463,1,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
28,5:54,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,2,event,5v5,21,Ashton Bell,,,,,31,Aerin Frankel,,,,,,,34.3,-18.7,0.0450,-1,O25,113,2024-12-17,PWHL,2024/2025,Regular Season
29,6:38,Block,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,11,Alina Müller,,,,,38,Emerance Maschmeyer,,,,,,,51.0,5.7,,1,O21,113,2024-12-17,PWHL,2024/2025,Regular Season
30,6:49,Goal,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,2,event,5v5,27,Shiann Darkangelo,71,Jincy Roese,92,Danielle Serdachny,31,Aerin Frankel,,7 11 25 37 77,Sidney Morin - Alina Müller - Emma Greco - Theresa Schafzahl - Susanna Tapani,,15 19 27 71 92,Savannah Harmon - Brianne Jenner - Shiann Darkangelo - Jincy Roese - Danielle Serdachny,75.0,6.5,0.1328,-1,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
31,8:00,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,9,Sophie Shirley,,,,,38,Emerance Maschmeyer,,,,,,,54.7,-6.2,0.0573,0,O21,113,2024-12-17,PWHL,2024/2025,Regular Season
32,8:01,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,16,Amanda Pelkey,,,,,38,Emerance Maschmeyer,,,,,,,75.3,4.0,0.1248,0,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
33,8:02,Goal,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,27,Shay Maloney,16,Amanda Pelkey,9,Sophie Shirley,38,Emerance Maschmeyer,,9 16 22 25 27,Sophie Shirley - Amanda Pelkey - Jessica DiGirolamo - Emma Greco - Shay Maloney,,8 15 26 71 94,Natalie Snodgrass - Savannah Harmon - Emily Clark - Jincy Roese - Anna Meixner,83.3,6.0,0.2112,0,O07,113,2024-12-17,PWHL,2024/2025,Regular Season
34,9:56,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,2,event,5v5,14,Hayley Scamurra,,,,,31,Aerin Frankel,,,,,,,45.7,18.1,0.0414,-1,O22,113,2024-12-17,PWHL,2024/2025,Regular Season
35,10:39,Shot,Ottawa Charge,Away,Boston Fleet,Ottawa Charge,2,event,5v5,16,Kateřina Mrázová,,,,,31,Aerin Frankel,,,,,,,62.3,14.7,0.0959,-1,O16,113,2024-12-17,PWHL,2024/2025,Regular Season
36,11:41,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,21,Hilary Knight,,,,,38,Emerance Maschmeyer,,,,,,,75.3,7.6,0.1463,1,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
37,11:59,Shot,Boston Fleet,Home,Boston Fleet,Ottawa Charge,2,event,5v5,36,Loren Gabel,,,,,38,Emerance Maschmeyer,,,,,,,80.3,-7.1,0.1463,1,O11,113,2024-12-17,PWHL,2024/2025,Regular Season
