feature,coefficient
intercept,0.0
StrengthState_EV,-1.7820874207243806
StrengthState_PP,-1.3502672968162122
StrengthState_SH,-1.5098573427656439
ScoreState_-1,-1.010027291817021
ScoreState_-2,-0.9561255769522667
ScoreState_0,-1.0752821996487334
ScoreState_1,-0.9090559173323315
ScoreState_2,-0.6917210745558813
BoxID_N_or_D,0.10319607274085567
BoxID_O01,1.0188865515805223
BoxID_O02,0.969074737178697
BoxID_O03,0.09370752410618872
BoxID_O04,-0.8359535204828638
BoxID_O05,-1.0736566122051368
BoxID_O06,0.24639965158186106
BoxID_O07,1.4738338722915665
BoxID_O08,0.35997062197793117
BoxID_O09,-0.8459612307014661
BoxID_O10,-0.9440637730524858
BoxID_O11,0.9484753394997598
BoxID_O12,-1.5153256266190527
BoxID_O13,-0.35140094892803597
BoxID_O14,0.4023589736521453
BoxID_O15,0.6571758094063702
BoxID_O16,0.5954804339765873
BoxID_O17,-0.22611266580518344
BoxID_O18,-1.4732938413842136
BoxID_O19,-0.7447531496891494
BoxID_O20,-0.11772019268258309
BoxID_O21,0.05804931521813759
BoxID_O22,-0.2906512691100515
BoxID_O23,-1.487894802430573
BoxID_O24,-0.3905755119183188
BoxID_O25,-0.34472020832273137
BoxID_O26,-0.926737610185013
