Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
1,Raygan Kirk,G,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,1052
29,Elaine Chuli,G,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,2400
2,Jessica Kondas,LD,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,766
6,Kali Flanagan,RD,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,1360
9,Daryl Watts,LW,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,1222
10,Hanna Baskin,LD,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,0
11,Kiara Zanon,LW,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,865
14,Renata Fast,RD,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,1268
15,Savannah Harmon,LD,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,1265
17,Ella Shelton,LD,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,1473
18,Jesse Compher,RW,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,1063
19,Sara Hjalmarsson,LW,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,695
20,Emma Gentry,C,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,718
22,Maggie Connors,LW,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,631
24,Natalie Spooner,RW,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,915
25,Clara Van Wieren,C,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,691
27,Emma Maltais,C,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,960
40,Blayre Turnbull,C,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,1100
42,Claire Dalton,RW,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,909
67,Emma Woods,RW,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,585
71,Anna Kjellbin,RD,Home,Toronto Sceptres,#377BC2,241,2025-12-30,PWHL,2025/2026,Regular Season,800
29,Nicole Hensley,G,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,3562
35,Maddie Rooney,G,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,
2,Lee Stecklein,LD,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,1233
4,Kendall Cooper,RD,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,1357
5,Sidney Morin,LD,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,1150
6,Katy Knoll,RW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,643
7,Claire Butorac,RW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,612
12,Kelly Pannek,C,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,887
13,Grace Zumwinkle,RW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,965
14,Dominique Petrie,C,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,1089
15,Brooke Becker,RD,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,886
21,Mae Batherson,LD,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,1354
22,Natalie Buchbinder,RD,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,1045
24,Vanessa Upson,LW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,287
26,Kendall Coyne Schofield,LW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,956
27,Taylor Heise,C,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,804
41,Denisa Křížová,LW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,935
71,Klára Hymlárová,C,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,638
74,Abby Hustler,RW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,1149
77,Britta Curl-Salemme,LW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,938
91,Peyton Anderson,LW,Away,Minnesota Frost,#353364,241,2025-12-30,PWHL,2025/2026,Regular Season,593
