Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
20,Elaine Chuli,G,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,3584
35,Ann-Renée Desbiens,G,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,
2,Mariah Keopple,D,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1254
4,Catherine Daoust,D,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1292
6,Madison Bizal,D,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,627
7,Laura Stacey,LW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1266
8,Gabrielle David,RW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,389
9,Kati Tabin,LD,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1371
12,Leah Lum,LD,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,757
14,Jillian Dempsey,C,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,453
15,Maureen Murphy,RW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,961
16,Sarah Lefort,LW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,443
17,Alexandra Poznikoff,RW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,266
21,Tereza Vanišová,LW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1118
23,Erin Ambrose,RD,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1534
24,Ann-Sophie Bettez,LW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,840
25,Mélodie Daoust,RW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1068
26,Sarah Bujold,C,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,605
28,Catherine Dubois,RW,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1131
29,Marie-Philip Poulin,C,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1247
43,Kristin O'Neill,C,Home,Montréal Victoire,#8F001E,42,2024-03-02,PWHL,2023/2024,Regular Season,1038
30,Emma Söderberg,G,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,
31,Aerin Frankel,G,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,3600
2,Emily Brown,LD,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,1216
5,Megan Keller,LD,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,1478
7,Sidney Morin,RD,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,1017
9,Sophie Shirley,RW,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,601
11,Alina Müller,C,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,1342
13,Kaleigh Fratkin,RD,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,1244
16,Amanda Pelkey,RW,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,463
17,Taylor Girard,LW,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,719
18,Abby Cook,RD,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,791
19,Gigi Marvin,C,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,651
20,Hannah Brandt,C,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,826
21,Hilary Knight,RW,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,1224
22,Jessica DiGirolamo,LD,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,1161
27,Shiann Darkangelo,LW,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,683
36,Loren Gabel,LW,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,823
37,Theresa Schafzahl,LW,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,790
47,Jamie Lee Rattray,RW,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,825
88,Susanna Tapani,C,Away,Boston Fleet,#004D29,42,2024-03-02,PWHL,2023/2024,Regular Season,1326
