Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
31,Aerin Frankel,G,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,3900
39,Abbey Levy,G,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,
3,Zoe Boyd,LD,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,1105
5,Megan Keller,LD,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,1769
6,Hadley Hartmetz,RD,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,703
7,Mia Biotti,LD,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,217
8,Haley Winn,RD,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,1855
11,Alina Müller,C,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,1498
13,Liz Schepers,LW,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,840
15,Olivia Mobley,RW,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,815
17,Theresa Schafzahl,LW,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,825
19,Abby Newhook,RW,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,811
20,Hannah Brandt,C,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,757
25,Laura Kluge,LW,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,614
26,Ella Huber,RW,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,810
27,Shay Maloney,C,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,800
44,Jill Saulnier,RW,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,676
47,Jamie Lee Rattray,LW,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,1124
53,Rylind MacKinnon,RD,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,858
55,Daniela Pejšová,LD,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,964
77,Susanna Tapani,C,Home,Boston Fleet,#004D29,269,2026-01-28,PWHL,2025/2026,Regular Season,1286
37,Callie Shanahan,G,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,
82,Kayle Osborne,G,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,3895
2,Dayle Ross,RD,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,511
4,Elle Hartje,LW,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1081
7,Savannah Norcross,RW,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,253
8,Maja Nylen Persson,RD,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1619
9,Olivia Knowles,LW,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,232
10,Sarah Fillier,C,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1483
14,Jaime Bourbonnais,LD,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1351
16,Lauren Bernard,LD,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,550
18,Maddi Wheeler,LW,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,931
19,Paetyn Levis,RW,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1291
20,Allyson Simpson,RD,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1138
22,Anna Bargman,LW,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,475
26,Casey O'Brien,C,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1319
28,Micah Zandee-Hart,LD,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1292
29,Emmy Fecteau,RW,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,714
43,Kristin O'Neill,C,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1307
71,Jincy Roese,D,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,826
81,Kayla Vespa,C,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,498
98,Kristýna Kaltounková,RW,Away,New York Sirens,#009E90,269,2026-01-28,PWHL,2025/2026,Regular Season,1330
