Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
30,Sandra Abstreiter,G,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,
38,Emerance Maschmeyer,G,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,3525
2,Aneta Tejralová,LD,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1312
3,Zoe Boyd,D,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,886
8,Natalie Snodgrass,C,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,664
9,Daryl Watts,LW,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1082
10,Becca Gilmore,RW,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,607
11,Akane Shiga,RW,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,586
14,Hayley Scamurra,RW,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1223
15,Savannah Harmon,LD,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1440
16,Kateřina Mrázová,C,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1226
17,Gabbie Hughes,C,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1084
19,Brianne Jenner,RW,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1167
21,Ashton Bell,RD,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1373
25,Kristin Della Rovere,C,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,629
26,Emily Clark,LW,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1258
28,Amanda Boulier,RD,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,1052
71,Jincy Roese,LD,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,983
88,Lexie Adzija,LW,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,592
94,Fanni Garát-Gasparics,LW,Home,Ottawa Charge,#D1011B,31,2024-02-17,PWHL,2023/2024,Regular Season,607
29,Nicole Hensley,G,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,3600
35,Maddie Rooney,G,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,
2,Lee Stecklein,LD,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1677
7,Claire Butorac,RW,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1025
11,Sophia Kunin,RW,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1009
12,Kelly Pannek,C,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1325
13,Grace Zumwinkle,RW,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1046
14,Clair DeGeorge,C,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,705
16,Sophie Jaques,RD,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1550
17,Brooke Bryant,LW,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,432
18,Brittyn Fleming,LW,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,918
19,Maggie Flaherty,LD,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1146
21,Liz Schepers,C,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,719
22,Natalie Buchbinder,RD,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1241
23,Mellissa Channell-Watkins,RD,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,759
25,Emma Greco,LD,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,707
26,Kendall Coyne Schofield,LW,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,1168
36,Dominique Kremer,RW,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,348
41,Denisa Křížová,LW,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,960
86,Michela Cava,C,Away,Minnesota Frost,#353364,31,2024-02-17,PWHL,2023/2024,Regular Season,960
