Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
29,Nicole Hensley,G,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,
35,Maddie Rooney,G,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,3900
2,Lee Stecklein,LD,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1628
7,Claire Butorac,LW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,626
11,Sophia Kunin,RW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,668
12,Kelly Pannek,C,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1104
13,Grace Zumwinkle,RW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1156
14,Clair DeGeorge,LW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,715
16,Sophie Jaques,RD,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1559
17,Brooke Bryant,LW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,34
18,Brittyn Fleming,C,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,645
19,Maggie Flaherty,RD,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,952
21,Liz Schepers,C,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,754
22,Natalie Buchbinder,RD,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1047
23,Mellissa Channell-Watkins,LD,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1088
24,Abby Boreen,RW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1186
25,Emma Greco,LD,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1003
26,Kendall Coyne Schofield,LW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1323
27,Taylor Heise,C,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,1247
41,Denisa Křížová,LW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,947
86,Michela Cava,RW,Home,Minnesota Frost,#353364,44,2024-03-05,PWHL,2023/2024,Regular Season,703
30,Sandra Abstreiter,G,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,3900
38,Emerance Maschmeyer,G,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,
2,Aneta Tejralová,LD,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1245
8,Natalie Snodgrass,C,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,850
9,Daryl Watts,LW,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1312
10,Becca Gilmore,C,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,783
11,Akane Shiga,RW,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,761
14,Hayley Scamurra,RW,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1113
15,Savannah Harmon,RD,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1555
16,Kateřina Mrázová,C,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1238
17,Gabbie Hughes,C,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1133
19,Brianne Jenner,RW,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1249
21,Ashton Bell,RD,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1401
24,Emma Buckles,LD,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,477
26,Emily Clark,LW,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1153
28,Amanda Boulier,RD,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1179
71,Jincy Roese,LD,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,1322
81,Rosalie Demers,RW,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,359
88,Lexie Adzija,LW,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,838
94,Fanni Garát-Gasparics,LW,Away,Ottawa Charge,#D1011B,44,2024-03-05,PWHL,2023/2024,Regular Season,425
