Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
30,Corinne Schroeder,G,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,
83,Hannah Murphy,G,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,3600
2,Aneta Tejralová,RD,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,838
3,Cayla Barnes,RD,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,1317
5,Anna Wilgren,LD,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,1115
7,Lily Delianedis,LW,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,423
9,Jessie Eldridge,RW,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,904
10,Jenna Buglioni,C,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,489
11,Emily Brown,RD,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,1151
13,Mikyla Grant-Mentis,C,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,767
17,Brooke Bryant,RW,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,511
19,Hannah Bilka,LW,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,1263
20,Mariah Keopple,LD,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,995
21,Hilary Knight,RW,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,1093
24,Lyndie Lobdell,RD,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,178
25,Alex Carpenter,C,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,958
27,Megan Carter,LD,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,1060
66,Marah Wagner,LW,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,815
78,Lexie Adzija,RW,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,824
88,Julia Gosling,LW,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,1081
92,Danielle Serdachny,C,Home,Seattle Torrent,#0A5458,229,2025-12-17,PWHL,2025/2026,Regular Season,1139
1,Sanni Ahola,G,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,3600
33,Gwyneth Philips,G,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,
3,Jocelyne Larocque,LD,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,1476
5,Rory Guilday,RD,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,1147
6,Stephanie Markowski,LD,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,1069
8,Kathryn Reilly,RD,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,11
10,Alexa Vasko,C,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,513
11,Brooke Hobson,LD,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,952
16,Kateřina Mrázová,C,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,1155
18,Mannon McMahon,C,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,786
19,Brianne Jenner,C,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,1268
22,Taylor House,LW,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,483
23,Sarah Wozniewicz,RW,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,992
26,Emily Clark,LW,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,973
29,Peyton Hemp,RW,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,874
37,Rebecca Leslie,RW,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,1211
55,Samantha Isbell,RD,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,921
71,Fanuza Kadirova,RW,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,532
88,Ronja Savolainen,RD,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,1205
94,Anna Meixner,LW,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,1084
97,Anna Shokhina,LW,Away,Ottawa Charge,#D1011B,229,2025-12-17,PWHL,2025/2026,Regular Season,870
