Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
33,Gwyneth Philips,G,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,3509
70,Kendra Woodland,G,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,
3,Jocelyne Larocque,LD,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,1216
5,Rory Guilday,LD,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,1221
6,Stephanie Markowski,LD,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,807
8,Kathryn Reilly,RD,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,1306
9,Vita Poniatovskaia,RD,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,50
10,Alexa Vasko,C,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,608
16,Kateřina Mrázová,C,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,1072
17,Gabbie Hughes,C,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,880
19,Brianne Jenner,C,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,1290
22,Taylor House,LW,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,544
23,Sarah Wozniewicz,RW,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,964
25,Emma Greco,RD,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,732
26,Emily Clark,LW,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,1149
27,Brooke McQuigge,RW,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,606
29,Peyton Hemp,RW,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,871
37,Rebecca Leslie,RW,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,1225
71,Fanuza Kadirova,LW,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,962
86,Michela Cava,LW,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,925
88,Ronja Savolainen,RD,Home,Ottawa Charge,#D1011B,306,2026-04-01,PWHL,2025/2026,Regular Season,1266
1,Raygan Kirk,G,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,3600
29,Elaine Chuli,G,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,
6,Kali Flanagan,RD,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1129
9,Daryl Watts,LW,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1085
11,Kiara Zanon,LW,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,653
12,Allie Munroe,LD,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,286
14,Renata Fast,RD,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1553
15,Savannah Harmon,LD,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1696
17,Ella Shelton,LD,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1622
18,Jesse Compher,RW,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1014
19,Sara Hjalmarsson,C,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,826
20,Emma Gentry,LW,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,179
21,Kristin Della Rovere,C,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,189
22,Maggie Connors,LW,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1128
24,Natalie Spooner,RW,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,767
25,Clara Van Wieren,C,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,480
27,Emma Maltais,C,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1112
40,Blayre Turnbull,C,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1091
42,Claire Dalton,RW,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,1206
67,Emma Woods,RW,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,442
71,Anna Kjellbin,RD,Away,Toronto Sceptres,#377BC2,306,2026-04-01,PWHL,2025/2026,Regular Season,816
