Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
37,Erica Howe,G,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,
50,Kristen Campbell,G,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,3596
3,Jocelyne Larocque,LD,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,1620
5,Lauriane Rougeau,LD,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,676
6,Kali Flanagan,RD,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,1198
7,Olivia Knowles,RD,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,552
10,Alexa Vasko,C,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,342
12,Allie Munroe,LD,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,1415
14,Renata Fast,RD,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,1466
17,Samantha Cogan,LW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,192
18,Jesse Compher,C,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,959
19,Rebecca Leslie,RW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,592
20,Sarah Nurse,C,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,1173
22,Maggie Connors,RW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,853
24,Natalie Spooner,RW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,1153
27,Emma Maltais,LW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,1059
28,Kaitlin Willoughby,RW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,0
34,Hannah Miller,LW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,765
40,Blayre Turnbull,C,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,991
41,Brittany Howard,RW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,377
51,Victoria Bach,LW,Home,Toronto Sceptres,#377BC2,30,2024-02-16,PWHL,2023/2024,Regular Season,839
20,Elaine Chuli,G,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,
35,Ann-Renée Desbiens,G,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,3592
2,Mariah Keopple,LD,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,904
4,Catherine Daoust,RD,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,1271
6,Madison Bizal,RD,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,761
7,Laura Stacey,RW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,1280
8,Gabrielle David,RW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,417
9,Kati Tabin,LD,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,1374
12,Leah Lum,LD,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,835
14,Jillian Dempsey,C,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,306
15,Maureen Murphy,RW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,934
16,Sarah Lefort,LW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,562
21,Tereza Vanišová,LW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,729
22,Kennedy Marchment,RW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,830
23,Erin Ambrose,RD,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,1560
24,Ann-Sophie Bettez,LW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,900
26,Sarah Bujold,C,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,711
28,Catherine Dubois,LW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,919
29,Marie-Philip Poulin,C,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,1196
42,Claire Dalton,RW,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,483
43,Kristin O'Neill,C,Away,Montréal Victoire,#8F001E,30,2024-02-16,PWHL,2023/2024,Regular Season,980
