Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
39,Abigail Levy,G,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,1200
82,Kayle Osborne,G,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,2700
6,Brooke Hobson,LD,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,717
7,Olivia Knowles,RD,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,439
8,Maja Nylen Persson,RD,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,1385
9,Jessie Eldridge,LW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,1075
10,Sarah Fillier,RW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,1220
11,Abby Roque,C,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,1323
12,Chloé Aurard,RW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,312
13,Elle Hartje,LW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,899
14,Jaime Bourbonnais,RD,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,2366
15,Gabby Rosenthal,C,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,969
18,Élizabeth Giguère,RW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,888
19,Paetyn Levis,RW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,1013
20,Allyson Simpson,LD,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,2073
25,Alex Carpenter,C,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,1257
27,Jade Downie-Landry,C,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,388
28,Micah Zandee-Hart,LD,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,1349
29,Emmy Fecteau,LW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,294
40,Noora Tulus,LW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,963
81,Kayla Vespa,LW,Home,New York Sirens,#009E90,117,2024-12-22,PWHL,2024/2025,Regular Season,13
29,Nicole Hensley,G,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,3900
35,Maddie Rooney,G,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,
2,Lee Stecklein,LD,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,1542
3,Brooke McQuigge,LW,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,604
6,Katy Knoll,C,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,195
7,Claire Butorac,RW,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,603
9,Mae Batherson,RD,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,1433
12,Kelly Pannek,C,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,1315
13,Grace Zumwinkle,RW,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,1982
17,Brooke Bryant,RW,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,500
19,Maggie Flaherty,RD,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,955
21,Liz Schepers,C,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,645
22,Natalie Buchbinder,RD,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,1792
23,Mellissa Channell-Watkins,LD,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,953
26,Kendall Coyne Schofield,LW,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,1355
27,Taylor Heise,C,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,2010
41,Denisa Křížová,LW,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,689
42,Claire Thompson,LD,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,2008
71,Klára Hymlárová,C,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,621
77,Britta Curl-Salemme,LW,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,1841
86,Michela Cava,RW,Away,Minnesota Frost,#353364,117,2024-12-22,PWHL,2024/2025,Regular Season,1086
