Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
30,Sandra Abstreiter,G,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,
35,Ann-Renée Desbiens,G,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,
4,Maya Labad,LW,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
7,Laura Stacey,RW,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
9,Kati Tabin,LD,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
11,Abby Roque,C,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
12,Tamara Giaquinto,RD,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
13,Alexandra Labelle,LW,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
16,Hayley Scamurra,LW,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
19,Kaitlin Willoughby,RW,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
22,Jessica DiGirolamo,LD,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
25,Lina Ljungblom,C,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
27,Shiann Darkangelo,C,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
28,Catherine Dubois,LW,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
44,Amanda Boulier,RD,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
61,Nicole Gosling,LD,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
77,Jade Downie-Landry,C,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
88,Skylar Irving,RW,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
91,Maggie Flaherty,RD,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
93,Nadia Mattivi,LD,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
96,Natálie Mlýnková,RW,Home,Montréal Victoire,#8F001E,300,2026-03-28,PWHL,2025/2026,Regular Season,0
