Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
29,Nicole Hensley,G,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,3605
35,Maddie Rooney,G,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,
2,Lee Stecklein,LD,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1463
3,Brooke McQuigge,LW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,448
7,Claire Butorac,RW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,427
12,Kelly Pannek,C,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1260
13,Grace Zumwinkle,RW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1289
14,Dominique Petrie,C,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,925
16,Sophie Jaques,RD,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1418
17,Brooke Bryant,RW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,83
19,Maggie Flaherty,RD,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,722
21,Liz Schepers,C,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,465
22,Natalie Buchbinder,RD,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1275
23,Mellissa Channell-Watkins,LD,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1011
26,Kendall Coyne Schofield,LW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1033
27,Taylor Heise,C,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,947
41,Denisa Křížová,LW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,855
42,Claire Thompson,LD,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1181
71,Klára Hymlárová,RW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,821
77,Britta Curl-Salemme,LW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,1228
86,Michela Cava,RW,Home,Minnesota Frost,#353364,107,2024-12-01,PWHL,2024/2025,Regular Season,970
30,Corinne Schroeder,G,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,3619
39,Abbey Levy,G,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,
6,Brooke Hobson,LD,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,619
8,Maja Nylen Persson,RD,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,1301
9,Jessie Eldridge,LW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,1045
10,Sarah Fillier,RW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,1249
11,Abby Roque,C,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,1191
12,Chloé Aurard-Bushee,RW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,250
13,Elle Hartje,LW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,749
14,Jaime Bourbonnais,RD,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,1235
15,Gabby Rosenthal,C,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,635
17,Ella Shelton,LD,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,1373
18,Élizabeth Giguère,LW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,980
19,Paetyn Levis,RW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,572
20,Allyson Simpson,RD,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,932
25,Alex Carpenter,C,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,1121
27,Jade Downie-Landry,C,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,544
28,Micah Zandee-Hart,LD,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,1538
29,Emmy Fecteau,LW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,279
40,Noora Tulus,RW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,971
44,Jill Saulnier,LW,Away,New York Sirens,#009E90,107,2024-12-01,PWHL,2024/2025,Regular Season,598
