Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
30,Emma Söderberg,G,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1324
31,Aerin Frankel,G,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,2259
2,Emily Brown,LD,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,815
5,Megan Keller,LD,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1328
7,Sidney Morin,RD,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1290
9,Sophie Shirley,LW,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,830
11,Alina Müller,C,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1284
12,Taylor Wenczkowski,RW,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,453
13,Kaleigh Fratkin,RD,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,496
16,Amanda Pelkey,RW,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,684
17,Taylor Girard,LW,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,367
18,Sophie Jaques,RD,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1284
19,Gigi Marvin,C,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,857
20,Hannah Brandt,C,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1134
21,Hilary Knight,RW,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1216
22,Jessica DiGirolamo,LD,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1164
27,Shiann Darkangelo,C,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,369
36,Loren Gabel,LW,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1112
37,Theresa Schafzahl,LW,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,917
47,Jamie Lee Rattray,RW,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,1108
97,Jess Healey,D,Home,Boston Fleet,#004D29,16,2024-01-20,PWHL,2023/2024,Regular Season,235
30,Corinne Schroeder,G,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,3600
39,Abbey Levy,G,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,
3,Olivia Zafuto,LD,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,479
4,Taylor Baker,RD,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1054
6,Brooke Hobson,LD,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1390
9,Jessie Eldridge,RW,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1102
10,Kayla Vespa,LW,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,887
11,Abby Roque,C,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1110
12,Chloé Aurard-Bushee,LW,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,922
13,Alexandra Labelle,C,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,477
14,Jaime Bourbonnais,RD,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1365
17,Ella Shelton,RD,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1529
18,Élizabeth Giguère,RW,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,821
19,Paetyn Levis,LW,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1038
23,Madison Packer,LW,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,350
25,Alex Carpenter,C,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1262
27,Jade Downie-Landry,C,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,841
28,Micah Zandee-Hart,LD,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,0
59,Johanna Fällman,LD,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,1164
67,Emma Woods,RW,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,882
71,Savannah Norcross,RW,Away,New York Sirens,#009E90,16,2024-01-20,PWHL,2023/2024,Regular Season,440
