Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
37,Callie Shanahan,G,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,3861
82,Kayle Osborne,G,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,
2,Dayle Ross,RD,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,105
4,Elle Hartje,RW,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,687
8,Maja Nylén Persson,RD,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1582
10,Sarah Fillier,RW,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1413
11,Nicole Vallario,RD,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,726
14,Jaime Bourbonnais,LD,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1255
16,Lauren Bernard,LD,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,782
18,Maddi Wheeler,LW,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,945
19,Paetyn Levis,RW,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1079
20,Allyson Simpson,RD,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1302
22,Anna Bargman,LW,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,518
24,Anne Cherkowski,LW,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1411
26,Casey O'Brien,C,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1551
28,Micah Zandee-Hart,LD,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1195
29,Emmy Fecteau,RW,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,364
41,Clair DeGeorge,C,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,606
43,Kristin O'Neill,C,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,1253
44,Denisa Křížová,LW,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,642
81,Kayla Vespa,C,Home,New York Sirens,#009E90,304,2026-04-01,PWHL,2025/2026,Regular Season,313
29,Nicole Hensley,G,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,
35,Maddie Rooney,G,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,3874
2,Lee Stecklein,LD,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1577
4,Kendall Cooper,RD,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1332
5,Sidney Morin,RD,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,873
6,Katy Knoll,RW,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,761
7,Claire Butorac,C,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,346
9,Madison Bizal,LD,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1
12,Kelly Pannek,C,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1357
13,Grace Zumwinkle,RW,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1026
15,Brooke Becker,RD,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,866
18,Élizabeth Giguère,F,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,165
19,Jincy Roese,LD,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1164
21,Mae Batherson,LD,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1004
24,Vanessa Upson,C,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,653
26,Kendall Coyne Schofield,LW,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1207
27,Taylor Heise,C,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,1111
71,Klára Hymlárová,LW,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,674
74,Abby Hustler,LW,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,730
77,Britta Curl-Salemme,RW,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,877
91,Peyton Anderson,LW,Away,Minnesota Frost,#353364,304,2026-04-01,PWHL,2025/2026,Regular Season,512
