Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
30,Emma Söderberg,G,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,
31,Aerin Frankel,G,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,3900
2,Emily Brown,LD,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,1092
5,Megan Keller,LD,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,1815
7,Sidney Morin,RD,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,975
9,Sophie Shirley,RW,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,768
11,Alina Müller,LW,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,1020
15,Sydney Bard,RD,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,957
16,Amanda Pelkey,RW,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,686
17,Taylor Girard,LW,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,481
19,Hannah Bilka,LW,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,1524
20,Hannah Brandt,C,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,833
21,Hilary Knight,RW,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,1441
22,Jessica DiGirolamo,RD,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,759
25,Emma Greco,LD,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,944
27,Shay Maloney,C,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,759
37,Theresa Schafzahl,LW,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,682
47,Jamie Lee Rattray,RW,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,894
55,Daniela Pejšová,RD,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,588
77,Susanna Tapani,C,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,1611
88,Lexie Adzija,C,Home,Boston Fleet,#004D29,173,2025-01-05,PWHL,2024/2025,Regular Season,670
30,Sandra Abstreiter,G,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,
35,Ann-Renée Desbiens,G,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,3900
2,Mariah Keopple,LD,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1168
3,Cayla Barnes,RD,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1321
4,Catherine Daoust,RD,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,160
5,Anna Wilgren,LD,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1123
7,Laura Stacey,RW,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1227
9,Kati Tabin,LD,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1325
12,Jenn Gardiner,LW,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,991
13,Alexandra Labelle,C,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1195
17,Dara Greig,LW,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,478
18,Mikyla Grant-Mentis,RW,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,720
21,Maureen Murphy,RW,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,862
23,Erin Ambrose,RD,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1471
24,Abby Boreen,RW,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,966
25,Lina Ljungblom,LW,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,853
26,Clair DeGeorge,C,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,329
29,Marie-Philip Poulin,C,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1207
42,Claire Dalton,LW,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1053
43,Kristin O'Neill,C,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,1016
71,Anna Kjellbin,RD,Away,Montréal Victoire,#8F001E,173,2025-01-05,PWHL,2024/2025,Regular Season,929
