Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
33,Gwyneth Philips,G,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,3900
70,Kendra Woodland,G,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,
3,Jocelyne Larocque,LD,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1426
5,Rory Guilday,RD,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1259
6,Stephanie Markowski,LD,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1269
8,Kathryn Reilly,RD,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,840
10,Alexa Vasko,C,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,802
11,Brooke Hobson,LD,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1067
16,Kateřina Mrázová,C,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1163
17,Gabbie Hughes,C,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,757
18,Mannon McMahon,RW,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,677
19,Brianne Jenner,C,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1256
22,Taylor House,C,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,220
23,Sarah Wozniewicz,LW,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1029
26,Emily Clark,LW,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1099
29,Peyton Hemp,RW,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1052
37,Rebecca Leslie,RW,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1263
71,Fanuza Kadirova,RW,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,650
88,Ronja Savolainen,RD,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,1411
94,Anna Meixner,LW,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,656
97,Anna Shokhina,LW,Home,Ottawa Charge,#D1011B,237,2025-12-27,PWHL,2025/2026,Regular Season,532
31,Aerin Frankel,G,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,3900
39,Abbey Levy,G,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,
3,Zoe Boyd,LD,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,1135
5,Megan Keller,LD,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,1712
6,Hadley Hartmetz,RD,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,703
8,Haley Winn,RD,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,1889
9,Sophie Shirley,RW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,464
11,Alina Müller,C,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,1371
13,Liz Schepers,C,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,805
15,Olivia Mobley,RW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,1112
16,Riley Brengman,RD,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,1163
17,Theresa Schafzahl,LW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,938
19,Abby Newhook,RW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,303
20,Hannah Brandt,C,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,651
25,Laura Kluge,LW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,436
26,Ella Huber,LW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,1038
27,Shay Maloney,RW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,803
44,Jill Saulnier,LW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,789
47,Jamie Lee Rattray,RW,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,899
53,Rylind MacKinnon,LD,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,816
77,Susanna Tapani,C,Away,Boston Fleet,#004D29,237,2025-12-27,PWHL,2025/2026,Regular Season,1289
