Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
1,Raygan Kirk,G,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,3486
29,Elaine Chuli,G,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,
6,Kali Flanagan,RD,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1346
8,Clair DeGeorge,C,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,78
11,Kiara Zanon,LW,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,742
12,Allie Munroe,LD,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1127
14,Renata Fast,RD,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1529
15,Savannah Harmon,LD,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1287
16,Lauren Messier,LW,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,350
17,Ella Shelton,LD,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1347
18,Jesse Compher,RW,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,970
19,Sara Hjalmarsson,LW,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1248
20,Emma Gentry,C,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,723
22,Maggie Connors,LW,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,947
24,Natalie Spooner,RW,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1220
25,Clara Van Wieren,C,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,496
27,Emma Maltais,C,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1376
40,Blayre Turnbull,C,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,1037
42,Claire Dalton,RW,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,828
67,Emma Woods,RW,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,488
71,Anna Kjellbin,RD,Home,Toronto Sceptres,#377BC2,218,2025-11-29,PWHL,2025/2026,Regular Season,451
31,Aerin Frankel,G,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,3600
39,Abbey Levy,G,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,
3,Zoe Boyd,LD,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,811
5,Megan Keller,LD,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,1873
6,Hadley Hartmetz,RD,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,658
8,Haley Winn,RD,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,1663
9,Sophie Shirley,RW,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,752
11,Alina Müller,C,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,1384
15,Olivia Mobley,RW,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,371
16,Riley Brengman,RD,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,912
17,Theresa Schafzahl,LW,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,730
19,Abby Newhook,RW,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,741
20,Hannah Brandt,C,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,828
25,Laura Kluge,C,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,663
26,Ella Huber,LW,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,757
27,Shay Maloney,RW,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,1280
44,Jill Saulnier,LW,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,682
47,Jamie Lee Rattray,LW,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,859
53,Rylind MacKinnon,LD,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,382
55,Daniela Pejšová,LD,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,617
77,Susanna Tapani,C,Away,Boston Fleet,#004D29,218,2025-11-29,PWHL,2025/2026,Regular Season,1147
