Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
37,Erica Howe,G,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,3597
50,Kristen Campbell,G,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,
3,Jocelyne Larocque,D,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1569
5,Lauriane Rougeau,LD,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,626
6,Kali Flanagan,RD,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1272
7,Olivia Knowles,RD,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,502
10,Alexa Vasko,C,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,621
12,Allie Munroe,LD,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1245
14,Renata Fast,RD,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1662
17,Samantha Cogan,LW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,448
18,Jesse Compher,C,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,838
19,Rebecca Leslie,RW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,307
20,Sarah Nurse,C,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1247
22,Maggie Connors,RW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,740
24,Natalie Spooner,RW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1183
27,Emma Maltais,LW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1173
28,Kaitlin Willoughby,RW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,257
34,Hannah Miller,LW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1079
40,Blayre Turnbull,C,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,1210
41,Brittany Howard,LW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,563
51,Victoria Bach,RW,Home,Toronto Sceptres,#377BC2,52,2024-03-20,PWHL,2023/2024,Regular Season,691
30,Emma Söderberg,G,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,3482
31,Aerin Frankel,G,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,
2,Emily Brown,LD,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,1129
5,Megan Keller,LD,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,1574
7,Sidney Morin,RD,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,1232
8,Lexie Adzija,C,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,914
9,Sophie Shirley,RW,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,837
11,Alina Müller,LW,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,955
12,Taylor Wenczkowski,F,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,219
13,Kaleigh Fratkin,RD,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,1257
16,Amanda Pelkey,RW,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,723
17,Taylor Girard,LW,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,994
19,Gigi Marvin,C,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,642
20,Hannah Brandt,C,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,1187
21,Hilary Knight,RW,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,1194
22,Jessica DiGirolamo,LD,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,953
37,Theresa Schafzahl,LW,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,474
47,Jamie Lee Rattray,LW,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,980
77,Nicole Kosta,RW,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,412
88,Susanna Tapani,C,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,1009
97,Jess Healey,RD,Away,Boston Fleet,#004D29,52,2024-03-20,PWHL,2023/2024,Regular Season,618
