Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
37,Erica Howe,G,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,
50,Kristen Campbell,G,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,3600
3,Jocelyne Larocque,LD,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,1677
5,Lauriane Rougeau,LD,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,524
6,Kali Flanagan,RD,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,1394
7,Olivia Knowles,RD,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,627
10,Alexa Vasko,C,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,628
12,Allie Munroe,LD,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,1096
14,Renata Fast,RD,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,1674
17,Samantha Cogan,LW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,189
18,Jesse Compher,C,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,802
19,Rebecca Leslie,RW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,643
20,Sarah Nurse,C,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,1244
22,Maggie Connors,LW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,691
24,Natalie Spooner,RW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,1023
27,Emma Maltais,LW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,1202
28,Kaitlin Willoughby,RW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,601
34,Hannah Miller,LW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,839
40,Blayre Turnbull,C,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,920
41,Brittany Howard,RW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,963
51,Victoria Bach,LW,Home,Toronto Sceptres,#377BC2,84,2024-05-08,PWHL,2023/2024,Playoffs,709
29,Nicole Hensley,G,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,3600
35,Maddie Rooney,G,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,
2,Lee Stecklein,LD,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1353
7,Claire Butorac,LW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,434
10,Sydney Brodt,RW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,0
11,Sophia Kunin,RW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,608
12,Kelly Pannek,C,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1202
13,Grace Zumwinkle,RW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1308
14,Clair DeGeorge,LW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,779
16,Sophie Jaques,RD,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1402
18,Brittyn Fleming,C,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,499
19,Maggie Flaherty,RD,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,844
21,Liz Schepers,C,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,792
22,Natalie Buchbinder,RD,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1100
23,Mellissa Channell-Watkins,LD,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1238
24,Abby Boreen,RW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,881
25,Emma Greco,LD,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,933
26,Kendall Coyne Schofield,LW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1121
27,Taylor Heise,C,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1001
41,Denisa Křížová,LW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,1056
86,Michela Cava,RW,Away,Minnesota Frost,#353364,84,2024-05-08,PWHL,2023/2024,Playoffs,770
