Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
30,Corinne Schroeder,G,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,
33,Lindsey Post,G,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,3600
4,Taylor Baker,RD,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,1031
6,Brooke Hobson,LD,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,1082
9,Jessie Eldridge,RW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,824
10,Kayla Vespa,LW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,510
11,Abby Roque,C,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,1126
12,Chloé Aurard,LW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,597
13,Alexandra Labelle,LW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,851
14,Jaime Bourbonnais,RD,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,1063
17,Ella Shelton,RD,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,1482
18,Élizabeth Giguère,RW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,826
19,Paetyn Levis,RW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,720
23,Madison Packer,RW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,267
25,Alex Carpenter,LW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,982
27,Jade Downie-Landry,C,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,659
28,Micah Zandee-Hart,LD,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,1303
44,Jill Saulnier,F,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,660
59,Johanna Fällman,LD,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,343
67,Emma Woods,C,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,726
71,Savannah Norcross,RW,Home,New York Sirens,#009E90,73,2024-05-04,PWHL,2023/2024,Regular Season,421
29,Nicole Hensley,G,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,3600
35,Maddie Rooney,G,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,
2,Lee Stecklein,LD,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,1645
7,Claire Butorac,RW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,107
10,Sydney Brodt,LW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,570
11,Sophia Kunin,RW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,641
12,Kelly Pannek,C,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,1177
13,Grace Zumwinkle,RW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,1277
14,Clair DeGeorge,LW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,592
16,Sophie Jaques,RD,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,1858
17,Brooke Bryant,RW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,376
18,Brittyn Fleming,C,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,675
19,Maggie Flaherty,RD,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,908
21,Liz Schepers,C,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,746
22,Natalie Buchbinder,RD,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,874
23,Mellissa Channell-Watkins,LD,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,808
25,Emma Greco,LD,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,512
26,Kendall Coyne Schofield,LW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,1235
27,Taylor Heise,C,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,1173
41,Denisa Křížová,LW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,1095
86,Michela Cava,RW,Away,Minnesota Frost,#353364,73,2024-05-04,PWHL,2023/2024,Regular Season,1064
