Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
33,Gwyneth Philips,G,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,4584
35,Logan Angers,G,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,
2,Aneta Tejralová,RD,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1628
3,Zoe Boyd,RD,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1293
5,Samantha Isbell,RD,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,0
6,Stephanie Markowski,LD,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,745
10,Alexa Vasko,C,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,764
12,Victoria Bach,LW,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,761
13,Tereza Vanišová,LW,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1505
17,Gabbie Hughes,C,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1460
18,Mannon McMahon,RW,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1268
19,Brianne Jenner,RW,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1527
21,Ashton Bell,RD,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1938
22,Taylor House,C,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,733
23,Jocelyne Larocque,LD,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1874
26,Emily Clark,LW,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1334
27,Shiann Darkangelo,C,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1571
37,Rebecca Leslie,RW,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,869
88,Ronja Savolainen,LD,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,1439
92,Danielle Serdachny,RW,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,711
94,Anna Meixner,LW,Home,Ottawa Charge,#D1011B,207,2025-05-22,PWHL,2024/2025,Playoffs,748
29,Nicole Hensley,G,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,
35,Maddie Rooney,G,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,4504
2,Lee Stecklein,RD,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1689
3,Brooke McQuigge,LW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1409
6,Katy Knoll,RW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,616
7,Claire Butorac,RW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,123
12,Kelly Pannek,C,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1466
13,Grace Zumwinkle,RW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1500
14,Dominique Petrie,C,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,995
16,Sophie Jaques,RD,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,2126
19,Maggie Flaherty,LD,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,797
21,Liz Schepers,C,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,663
22,Natalie Buchbinder,RD,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,789
23,Mellissa Channell-Watkins,LD,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1817
26,Kendall Coyne Schofield,LW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1283
27,Taylor Heise,C,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1458
41,Denisa Křížová,RW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1025
42,Claire Thompson,LD,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1702
71,Klára Hymlárová,LW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,721
77,Britta Curl-Salemme,LW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1096
86,Michela Cava,RW,Away,Minnesota Frost,#353364,207,2025-05-22,PWHL,2024/2025,Playoffs,1323
