Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
30,Corinne Schroeder,G,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,
39,Abbey Levy,G,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,3900
4,Taylor Baker,RD,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,863
6,Brooke Hobson,LD,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,1268
9,Jessie Eldridge,RW,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,915
10,Kayla Vespa,LW,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,622
11,Abby Roque,RW,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,1464
12,Chloé Aurard-Bushee,LW,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,600
13,Alexandra Labelle,C,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,595
14,Jaime Bourbonnais,RD,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,1389
17,Ella Shelton,RD,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,1242
18,Élizabeth Giguère,RW,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,638
19,Paetyn Levis,LW,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,483
23,Madison Packer,RW,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,443
25,Alex Carpenter,C,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,1417
27,Jade Downie-Landry,C,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,757
28,Micah Zandee-Hart,LD,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,1382
44,Jill Saulnier,LW,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,839
59,Johanna Fällman,LD,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,671
67,Emma Woods,C,Home,New York Sirens,#009E90,35,2024-02-21,PWHL,2023/2024,Regular Season,631
20,Elaine Chuli,G,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,
35,Ann-Renée Desbiens,G,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,3900
2,Mariah Keopple,LD,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,1334
4,Catherine Daoust,RD,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,966
6,Madison Bizal,RD,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,756
7,Laura Stacey,LW,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,1772
8,Gabrielle David,RW,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,575
9,Kati Tabin,LD,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,1188
10,Brigitte Laganière,LD,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,307
12,Leah Lum,LD,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,600
14,Jillian Dempsey,C,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,420
15,Maureen Murphy,RW,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,894
16,Sarah Lefort,LW,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,623
21,Tereza Vanišová,LW,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,998
23,Erin Ambrose,RD,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,1955
24,Ann-Sophie Bettez,RW,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,532
26,Sarah Bujold,C,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,638
28,Catherine Dubois,LW,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,940
29,Marie-Philip Poulin,C,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,712
42,Claire Dalton,RW,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,1351
43,Kristin O'Neill,C,Away,Montréal Victoire,#8F001E,35,2024-02-21,PWHL,2023/2024,Regular Season,898
